idx,pred,pred_label,true,true_label,conf,pred_logit,true_logit,drop_edge_conv_zero_1_edge_conv,drop_edge_conv_zero_0_edge_conv,drop_features_zero_input_features_zero,drop_feature_group_zero_input_coords_last2,drop_edge_conv_zero_2_edge_conv,drop_feature_group_zero_input_kin_logs_0_4
2117,0,label_QCD,0,label_QCD,0.9999281167984009,-16.417905807495117,-16.417905807495117,228.63775634765625,114.09309387207031,5.238534927368164,8.732532501220703,-0.08697509765625,-1.190047264099121
2113,0,label_QCD,0,label_QCD,0.9993353486061096,-1.7375850677490234,-1.7375850677490234,243.31809997558594,140.6369171142578,10.493647575378418,30.535337448120117,14.593345642089844,16.479225158691406
2078,0,label_QCD,0,label_QCD,0.9991573095321655,-6.059333801269531,-6.059333801269531,238.996337890625,185.7493896484375,23.315996170043945,8.162755966186523,10.271596908569336,4.312860488891602
246,1,label_Hbb,1,label_Hbb,0.9978238344192505,-0.041639357805252075,-0.041639357805252075,277.3258972167969,244.71316528320312,86.67711639404297,15.878432273864746,19.082000732421875,14.470736503601074
206,1,label_Hbb,1,label_Hbb,0.9972424507141113,0.595314085483551,0.595314085483551,277.96282958984375,245.3501434326172,87.31407165527344,17.41710662841797,19.71895408630371,16.16995620727539
52,1,label_Hbb,1,label_Hbb,0.9963611960411072,-1.8153471946716309,-1.8153471946716309,275.55218505859375,242.939453125,84.90340423583984,22.41611671447754,17.308292388916016,14.289587020874023
425,2,label_Hcc,2,label_Hcc,0.9970899820327759,2.4434261322021484,2.4434261322021484,271.0202941894531,235.2854461669922,111.65914916992188,16.857925415039062,21.475934982299805,22.483232498168945
333,2,label_Hcc,2,label_Hcc,0.9881271719932556,2.373568058013916,2.373568058013916,270.950439453125,235.21559143066406,111.58928680419922,76.23107147216797,21.406076431274414,17.15643310546875
471,2,label_Hcc,2,label_Hcc,0.9849855899810791,1.7346460819244385,1.7346460819244385,270.3115539550781,234.57667541503906,110.95037078857422,16.306230545043945,20.767154693603516,12.458595275878906
754,3,label_Hgg,3,label_Hgg,0.9879035353660583,0.6643581986427307,0.6643581986427307,337.8021545410156,248.51724243164062,114.1934814453125,20.471294403076172,17.12834358215332,11.876548767089844
555,3,label_Hgg,3,label_Hgg,0.9755978584289551,0.7866596579551697,0.7866596579551697,337.9244689941406,248.63958740234375,114.31578063964844,16.46820068359375,17.25064468383789,6.202691555023193
615,3,label_Hgg,3,label_Hgg,0.9594886898994446,0.3844149112701416,0.3844149112701416,337.522216796875,248.2373046875,113.91353607177734,19.564712524414062,16.848400115966797,5.871368408203125
1166,4,label_H4q,4,label_H4q,0.9989914298057556,3.247354030609131,3.247354030609131,300.5234375,228.03050231933594,165.08956909179688,52.25920867919922,25.356155395507812,12.125288009643555
1034,4,label_H4q,4,label_H4q,0.9965152740478516,3.253621816635132,3.253621816635132,300.5296936035156,228.03675842285156,165.09584045410156,39.3082275390625,25.362422943115234,9.566410064697266
1050,4,label_H4q,4,label_H4q,0.9941601753234863,2.821122407913208,2.821122407913208,300.0971984863281,227.60426330566406,164.66334533691406,15.750763893127441,24.92992401123047,7.991540908813477
795,5,label_Hqql,5,label_Hqql,0.9999996423721313,4.907090663909912,4.907090663909912,167.66256713867188,146.3490447998047,65.86481475830078,18.91716957092285,30.592388153076172,34.25741195678711
855,5,label_Hqql,5,label_Hqql,0.9999951124191284,3.175077199935913,3.175077199935913,165.93055725097656,222.6036834716797,112.98324584960938,39.022647857666016,28.860374450683594,27.083248138427734
926,5,label_Hqql,5,label_Hqql,0.9999943971633911,4.175199508666992,4.175199508666992,166.93067932128906,223.60379028320312,113.98336791992188,30.04772186279297,29.860496520996094,29.623733520507812
2527,6,label_Zqq,6,label_Zqq,0.9607760906219482,-2.082850456237793,-2.082850456237793,281.64434814453125,248.2119903564453,114.49052429199219,14.710551261901855,16.99679946899414,11.615408897399902
2414,6,label_Zqq,6,label_Zqq,0.9536870121955872,1.5763447284698486,1.5763447284698486,285.3035888671875,251.87118530273438,118.14971923828125,50.90066146850586,20.655994415283203,18.10921859741211
2512,6,label_Zqq,6,label_Zqq,0.9533518552780151,-0.6730688214302063,-0.6730688214302063,283.0541687011719,249.62181091308594,115.90030670166016,13.486523628234863,18.406579971313477,9.142123222351074
1968,7,label_Wqq,7,label_Wqq,0.9745469689369202,1.0333333015441895,1.0333333015441895,193.02267456054688,239.09153747558594,106.20655059814453,98.07418060302734,21.39503288269043,12.929685592651367
1812,7,label_Wqq,7,label_Wqq,0.9740322232246399,0.7448228597640991,0.7448228597640991,192.73416137695312,238.8030548095703,105.91805267333984,43.71139144897461,21.106523513793945,13.980262756347656
1983,7,label_Wqq,7,label_Wqq,0.9738960862159729,1.0282012224197388,1.0282012224197388,193.01751708984375,239.08641052246094,106.20143127441406,36.61452102661133,21.389902114868164,17.833545684814453
1702,8,label_Tbqq,8,label_Tbqq,0.999966025352478,2.7572081089019775,2.7572081089019775,241.62379455566406,230.23695373535156,136.2233123779297,57.95811080932617,27.717790603637695,21.366382598876953
1612,8,label_Tbqq,8,label_Tbqq,0.9999363422393799,1.2317509651184082,1.2317509651184082,240.0983428955078,228.7115020751953,134.69786071777344,27.123443603515625,26.192333221435547,22.40577507019043
1684,8,label_Tbqq,8,label_Tbqq,0.9999321699142456,3.854170799255371,3.854170799255371,242.72079467773438,231.33392333984375,137.32028198242188,33.66330337524414,28.814754486083984,27.248733520507812
1313,9,label_Tbl,9,label_Tbl,1.0,5.0654520988464355,5.0654520988464355,157.93614196777344,265.6314697265625,63.686885833740234,51.99419021606445,30.97842788696289,24.621078491210938
1309,9,label_Tbl,9,label_Tbl,1.0,0.5695033073425293,0.5695033073425293,153.440185546875,236.56785583496094,47.32085037231445,31.75030517578125,26.482479095458984,24.240272521972656
1287,9,label_Tbl,9,label_Tbl,1.0,1.405466079711914,1.405466079711914,154.27615356445312,261.971435546875,60.02690124511719,19.069049835205078,27.31844139099121,25.797693252563477
