id,kind,name,label,W_Tbl_minus_Hqql,bias_Tbl_minus_Hqql,kind2,top_group,diagnosis,B_write,B_AxGrad,role,group,activation,grad
objective:Tbl-Hqql,objective,Tbl-Hqql,J=logit_Tbl-logit_Hqql,,,,,,,,,,,
classifier:mod.fc,classifier,mod.fc,classifier head,,,,,,,,,,,
classifier_dim:fc_dim_54,classifier_dim,fc_dim_54,fc_dim_54,-1.6964067220687866,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_76,classifier_dim,fc_dim_76,fc_dim_76,1.4145793914794922,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_18,classifier_dim,fc_dim_18,fc_dim_18,-1.2686177492141724,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_103,classifier_dim,fc_dim_103,fc_dim_103,1.25152587890625,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_121,classifier_dim,fc_dim_121,fc_dim_121,0.977470338344574,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_96,classifier_dim,fc_dim_96,fc_dim_96,-0.7730405330657959,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_58,classifier_dim,fc_dim_58,fc_dim_58,0.5745218992233276,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_23,classifier_dim,fc_dim_23,fc_dim_23,0.5696371793746948,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_45,classifier_dim,fc_dim_45,fc_dim_45,-0.48215559124946594,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_57,classifier_dim,fc_dim_57,fc_dim_57,0.47194164991378784,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_10,classifier_dim,fc_dim_10,fc_dim_10,-0.3488597869873047,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_8,classifier_dim,fc_dim_8,fc_dim_8,0.23268666863441467,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_2,classifier_dim,fc_dim_2,fc_dim_2,0.20393377542495728,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_91,classifier_dim,fc_dim_91,fc_dim_91,0.18423211574554443,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_34,classifier_dim,fc_dim_34,fc_dim_34,-0.1707550287246704,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_79,classifier_dim,fc_dim_79,fc_dim_79,-0.10766482353210449,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_6,classifier_dim,fc_dim_6,fc_dim_6,0.088742196559906,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_66,classifier_dim,fc_dim_66,fc_dim_66,0.08377087116241455,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_3,classifier_dim,fc_dim_3,fc_dim_3,0.06577682495117188,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_80,classifier_dim,fc_dim_80,fc_dim_80,-0.050974130630493164,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_110,classifier_dim,fc_dim_110,fc_dim_110,-0.039949655532836914,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_123,classifier_dim,fc_dim_123,fc_dim_123,0.012944400310516357,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_124,classifier_dim,fc_dim_124,fc_dim_124,0.0038715004920959473,-0.6702732443809509,,,,,,,,,
classifier_dim:fc_dim_82,classifier_dim,fc_dim_82,fc_dim_82,0.003074824810028076,-0.6702732443809509,,,,,,,,,
residual_cls:mod.cls_blocks.0,residual_cls,mod.cls_blocks.0,mod.cls_blocks.0,,,cls,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.0,residual_particle,mod.blocks.0,mod.blocks.0,,,particle,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.7,residual_particle,mod.blocks.7,mod.blocks.7,,,particle,D_Tbl_to_Hqql,,,,,,,
residual_cls:mod.cls_blocks.1,residual_cls,mod.cls_blocks.1,mod.cls_blocks.1,,,cls,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.1,residual_particle,mod.blocks.1,mod.blocks.1,,,particle,B_Hqql_to_Tbl,,,,,,,
residual_particle:mod.blocks.2,residual_particle,mod.blocks.2,mod.blocks.2,,,particle,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.3,residual_particle,mod.blocks.3,mod.blocks.3,,,particle,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.6,residual_particle,mod.blocks.6,mod.blocks.6,,,particle,B_Hqql_to_Tbl,,,,,,,
residual_particle:mod.blocks.4,residual_particle,mod.blocks.4,mod.blocks.4,,,particle,D_Tbl_to_Hqql,,,,,,,
residual_particle:mod.blocks.5,residual_particle,mod.blocks.5,mod.blocks.5,,,particle,D_Tbl_to_Hqql,,,,,,,
attention_pair:mod.cls_blocks.0.attn.h4|electron<-electron,attention_pair,mod.cls_blocks.0.attn.h4|electron<-electron,mod.cls_blocks.0.attn.h4 electron<-electron,,,,,B_Tbl_resist_or_protective_read_write,-0.4598289628823598,-0.4598289628823598,,,,
residual_block:mod.cls_blocks.0,residual_block,mod.cls_blocks.0,mod.cls_blocks.0,,,,,,,,,,,
attention_pair:mod.cls_blocks.0.attn.h4|CLS<-electron,attention_pair,mod.cls_blocks.0.attn.h4|CLS<-electron,mod.cls_blocks.0.attn.h4 CLS<-electron,,,,,B_Tbl_resist_or_protective_read_write,-0.32885736463192317,-0.32885736463192317,,,,
attention_pair:mod.cls_blocks.0.attn.h4|muon<-muon,attention_pair,mod.cls_blocks.0.attn.h4|muon<-muon,mod.cls_blocks.0.attn.h4 muon<-muon,,,,,B_Tbl_resist_or_protective_read_write,-0.46636576377428496,-0.46636576377428496,,,,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-charged_hadron,attention_pair,mod.cls_blocks.0.attn.h4|photon<-charged_hadron,mod.cls_blocks.0.attn.h4 photon<-charged_hadron,,,,,B_Tbl_push_read_write,0.026127017713312446,0.026127017713312446,,,,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-neutral_hadron,attention_pair,mod.cls_blocks.0.attn.h4|photon<-neutral_hadron,mod.cls_blocks.0.attn.h4 photon<-neutral_hadron,,,,,high_gradient_write_node,0.017328166656873444,0.017328166656873444,,,,
attention_pair:mod.cls_blocks.0.attn.h4|electron<-muon,attention_pair,mod.cls_blocks.0.attn.h4|electron<-muon,mod.cls_blocks.0.attn.h4 electron<-muon,,,,,B_Tbl_push_read_write,0.020911590981995687,0.020911590981995687,,,,
attention_pair:mod.blocks.7.attn.h3|charged_hadron<-electron,attention_pair,mod.blocks.7.attn.h3|charged_hadron<-electron,mod.blocks.7.attn.h3 charged_hadron<-electron,,,,,causal_candidate,-0.0006774320995723197,-0.0006774320976485072,,,,
residual_block:mod.blocks.7,residual_block,mod.blocks.7,mod.blocks.7,,,,,,,,,,,
attention_pair:mod.cls_blocks.0.attn.h7|charged_hadron<-muon,attention_pair,mod.cls_blocks.0.attn.h7|charged_hadron<-muon,mod.cls_blocks.0.attn.h7 charged_hadron<-muon,,,,,B_Tbl_push_read_write,0.03961380943655968,0.03961380943655968,,,,
attention_pair:mod.cls_blocks.0.attn.h1|charged_hadron<-photon,attention_pair,mod.cls_blocks.0.attn.h1|charged_hadron<-photon,mod.cls_blocks.0.attn.h1 charged_hadron<-photon,,,,,high_gradient_write_node,0.0166634005893554,0.0166634005893554,,,,
attention_pair:mod.cls_blocks.0.attn.h6|charged_hadron<-charged_hadron,attention_pair,mod.cls_blocks.0.attn.h6|charged_hadron<-charged_hadron,mod.cls_blocks.0.attn.h6 charged_hadron<-charged_hadron,,,,,high_gradient_write_node,-0.008851552559506325,-0.008851552559506325,,,,
attention_pair:mod.blocks.7.attn.h3|muon<-electron,attention_pair,mod.blocks.7.attn.h3|muon<-electron,mod.blocks.7.attn.h3 muon<-electron,,,,,causal_candidate,-0.0019373794232204755,-0.0019373795178079466,,,,
attention_pair:mod.blocks.7.attn.h3|electron<-muon,attention_pair,mod.blocks.7.attn.h3|electron<-muon,mod.blocks.7.attn.h3 electron<-muon,,,,,causal_candidate,-0.0005468963611150457,-0.0005468964535225495,,,,
residual_role:mod.cls_blocks.0|neutral_hadron|C_Tbl_correct,residual_role,mod.cls_blocks.0|neutral_hadron|C_Tbl_correct,mod.cls_blocks.0 neutral_hadron,,,,,,,,neutral_hadron,C_Tbl_correct,,
residual_role:mod.cls_blocks.0|muon|C_Tbl_correct,residual_role,mod.cls_blocks.0|muon|C_Tbl_correct,mod.cls_blocks.0 muon,,,,,,,,muon,C_Tbl_correct,,
residual_role:mod.cls_blocks.0|electron|A_Hqql_correct,residual_role,mod.cls_blocks.0|electron|A_Hqql_correct,mod.cls_blocks.0 electron,,,,,,,,electron,A_Hqql_correct,,
residual_role:mod.cls_blocks.0|photon|C_Tbl_correct,residual_role,mod.cls_blocks.0|photon|C_Tbl_correct,mod.cls_blocks.0 photon,,,,,,,,photon,C_Tbl_correct,,
residual_role:mod.cls_blocks.0|CLS|C_Tbl_correct,residual_role,mod.cls_blocks.0|CLS|C_Tbl_correct,mod.cls_blocks.0 CLS,,,,,,,,CLS,C_Tbl_correct,,
residual_role:mod.cls_blocks.0|muon|A_Hqql_correct,residual_role,mod.cls_blocks.0|muon|A_Hqql_correct,mod.cls_blocks.0 muon,,,,,,,,muon,A_Hqql_correct,,
residual_role:mod.cls_blocks.0|CLS|A_Hqql_correct,residual_role,mod.cls_blocks.0|CLS|A_Hqql_correct,mod.cls_blocks.0 CLS,,,,,,,,CLS,A_Hqql_correct,,
residual_role:mod.cls_blocks.0|charged_hadron|A_Hqql_correct,residual_role,mod.cls_blocks.0|charged_hadron|A_Hqql_correct,mod.cls_blocks.0 charged_hadron,,,,,,,,charged_hadron,A_Hqql_correct,,
residual_role:mod.cls_blocks.1|photon|C_Tbl_correct,residual_role,mod.cls_blocks.1|photon|C_Tbl_correct,mod.cls_blocks.1 photon,,,,,,,,photon,C_Tbl_correct,,
residual_block:mod.cls_blocks.1,residual_block,mod.cls_blocks.1,mod.cls_blocks.1,,,,,,,,,,,
