analysis_group,source_group,entry_idx,root_pred,direct_pred,same_pred,root_Hqql,root_Tbl,direct_Hqql,direct_Tbl,score_l2_root_vs_direct
A_Hqql_correct,HToWW2Q1L,1069,label_Hqql,label_Hqql,1,1.0,2.8037931087965262e-08,0.9998001456260681,6.299543656496098e-06,0.00025135837495326996
A_Hqql_correct,HToWW2Q1L,4369,label_Hqql,label_Hqql,1,1.0,2.649822761213727e-08,0.9999885559082031,1.1383120181562845e-05,1.6122836314025335e-05
A_Hqql_correct,HToWW2Q1L,17978,label_Hqql,label_Hqql,1,1.0,2.041116431428236e-08,0.9964892864227295,0.00020270513778086752,0.004395341966301203
A_Hqql_correct,HToWW2Q1L,20290,label_Hqql,label_Hqql,1,1.0,2.1308988351620428e-08,0.9912601113319397,0.001209643785841763,0.010192863643169403
A_Hqql_correct,HToWW2Q1L,23852,label_Hqql,label_Hqql,1,1.0,8.696205533453849e-09,0.6753021478652954,0.000585912202950567,0.40826696157455444
A_Hqql_correct,HToWW2Q1L,24518,label_Hqql,label_Hqql,1,1.0,7.98149879521759e-10,0.9998784065246582,1.9369812434888445e-05,0.0001398225867887959
A_Hqql_correct,HToWW2Q1L,25471,label_Hqql,label_Tbl,0,1.0,1.6346803022315726e-08,0.20418472588062286,0.7957029938697815,1.125373363494873
A_Hqql_correct,HToWW2Q1L,27032,label_Hqql,label_Hqql,1,1.0,6.313153999570886e-09,0.5648736953735352,0.4351066052913666,0.6153476238250732
A_Hqql_correct,HToWW2Q1L,29648,label_Hqql,label_Hqql,1,1.0,1.0606576061888973e-08,0.9999698400497437,1.5451835224666866e-06,3.490592280286364e-05
A_Hqql_correct,HToWW2Q1L,29857,label_Hqql,label_Hqql,1,1.0,1.198931265378178e-08,0.9992164373397827,0.0007143474649637938,0.0010609169257804751
A_Hqql_correct,HToWW2Q1L,32134,label_Hqql,label_Hqql,1,1.0,2.8667104245982955e-08,0.9632025361061096,0.00017569253395777196,0.04638137295842171
A_Hqql_correct,HToWW2Q1L,38944,label_Hqql,label_Hqql,1,1.0,1.7469018231963673e-08,0.9986981153488159,0.0012765529099851847,0.00182336603756994
A_Hqql_correct,HToWW2Q1L,40546,label_Hqql,label_Hqql,1,1.0,2.3511708135970366e-08,0.8812640309333801,0.11847609281539917,0.16773439943790436
A_Hqql_correct,HToWW2Q1L,41814,label_Hqql,label_Hqql,1,1.0,2.939919596656182e-08,0.6919990181922913,0.0017420327058061957,0.3606196641921997
A_Hqql_correct,HToWW2Q1L,51486,label_Hqql,label_Hqql,1,1.0,1.8525464495766641e-09,0.9999850988388062,1.3591346942121163e-05,2.0184943423373625e-05
A_Hqql_correct,HToWW2Q1L,51927,label_Hqql,label_Hqql,1,1.0,2.503975637946354e-10,0.9700091481208801,0.02998228184878826,0.042407408356666565
A_Hqql_correct,HToWW2Q1L,57470,label_Hqql,label_Hqql,1,1.0,2.7118286283212e-08,0.9974466562271118,0.0025360744912177324,0.003598772455006838
A_Hqql_correct,HToWW2Q1L,64111,label_Hqql,label_Hqql,1,1.0,1.615537037480408e-08,0.993361234664917,0.006614511366933584,0.009371493943035603
A_Hqql_correct,HToWW2Q1L,64240,label_Hqql,label_Hqql,1,1.0,8.176188615038882e-09,0.9999730587005615,2.66415790974861e-05,3.7884354242123663e-05
A_Hqql_correct,HToWW2Q1L,68374,label_Hqql,label_Hqql,1,1.0,4.0575471871306945e-09,0.9999741315841675,6.726533229084453e-06,2.9303395422175527e-05
A_Hqql_correct,HToWW2Q1L,70912,label_Hqql,label_Tbl,0,1.0,2.3618097699795726e-08,0.23531685769557953,0.764634370803833,1.0813907384872437
A_Hqql_correct,HToWW2Q1L,76041,label_Hqql,label_Hqql,1,1.0,1.1710195479963659e-08,0.9694378972053528,0.018169810995459557,0.0373191237449646
A_Hqql_correct,HToWW2Q1L,77787,label_Hqql,label_Hqql,1,1.0,2.126841147642722e-09,0.9999226331710815,6.947324436623603e-05,0.00010409052629256621
A_Hqql_correct,HToWW2Q1L,80775,label_Hqql,label_Hqql,1,1.0,1.2114477421221181e-08,0.9889571070671082,0.011011485010385513,0.015594814904034138
A_Hqql_correct,HToWW2Q1L,95020,label_Hqql,label_Hqql,1,1.0,1.2580374963988561e-08,0.9823879599571228,0.017586180940270424,0.024888901039958
A_Hqql_correct,HToWW2Q1L,95736,label_Hqql,label_Hqql,1,1.0,2.0027680847078955e-08,0.9999697208404541,2.6838359190151095e-05,4.0533021092414856e-05
A_Hqql_correct,HToWW2Q1L,1769,label_Hqql,label_Hqql,1,1.0,4.876503822970335e-08,0.9882303476333618,0.0008881769026629627,0.013633671216666698
A_Hqql_correct,HToWW2Q1L,2628,label_Hqql,label_Hqql,1,1.0,3.2641406022548836e-08,0.9996247291564941,0.00036560127045959234,0.000523924536537379
A_Hqql_correct,HToWW2Q1L,3333,label_Hqql,label_Hqql,1,1.0,3.376985802105992e-08,0.9999701976776123,1.1508350326039363e-05,3.5468085116008297e-05
A_Hqql_correct,HToWW2Q1L,10552,label_Hqql,label_Hqql,1,1.0,3.695956252158794e-08,0.9997385144233704,0.00025220963289029896,0.00036329517024569213
A_Hqql_correct,HToWW2Q1L,11278,label_Hqql,label_Hqql,1,1.0,5.4932055348899667e-08,0.9999104738235474,8.393952157348394e-05,0.00012271931336726993
A_Hqql_correct,HToWW2Q1L,12470,label_Hqql,label_Hqql,1,1.0,3.247466651146169e-08,0.9728885293006897,0.027107099071145058,0.03833829611539841
A_Hqql_correct,HToWW2Q1L,16333,label_Hqql,label_Hqql,1,1.0,4.372462569790514e-08,0.9990967512130737,5.754241556132911e-06,0.001189110684208572
A_Hqql_correct,HToWW2Q1L,24514,label_Hqql,label_Hqql,1,1.0,4.330424729914739e-08,0.9530664682388306,0.04582289978861809,0.06560082733631134
A_Hqql_correct,HToWW2Q1L,25518,label_Hqql,label_Hqql,1,1.0,4.012427723409928e-08,0.7138476371765137,0.28613290190696716,0.4046667814254761
A_Hqql_correct,HToWW2Q1L,26535,label_Hqql,label_Hqql,1,1.0,4.7557961124766734e-08,0.9999746084213257,5.684632469638018e-06,2.8922670026076958e-05
A_Hqql_correct,HToWW2Q1L,27913,label_Hqql,label_Hqql,1,1.0,5.925223689473569e-08,0.9983421564102173,0.001648437581025064,0.002337867161259055
A_Hqql_correct,HToWW2Q1L,29046,label_Hqql,label_Hqql,1,1.0,3.389155622812723e-08,0.9827030897140503,0.01721077784895897,0.024400707334280014
A_Hqql_correct,HToWW2Q1L,34434,label_Hqql,label_Hqql,1,1.0,5.364829647191982e-08,0.9978511333465576,0.0012567304074764252,0.0025432209949940443
A_Hqql_correct,HToWW2Q1L,36162,label_Hqql,label_Hqql,1,1.0,5.0159126629978346e-08,0.9956343770027161,0.004302713554352522,0.006129654590040445
A_Hqql_correct,HToWW2Q1L,43222,label_Hqql,label_Hqql,1,1.0,4.3844714525675954e-08,0.9999432563781738,5.558493285207078e-05,7.940603245515376e-05
A_Hqql_correct,HToWW2Q1L,44194,label_Hqql,label_Hqql,1,1.0,5.098770827771659e-08,0.9998292922973633,8.378267375519499e-05,0.0001961593225132674
A_Hqql_correct,HToWW2Q1L,44463,label_Hqql,label_Hqql,1,1.0,4.459296931713652e-08,0.9558542966842651,0.04413001984357834,0.062420330941677094
A_Hqql_correct,HToWW2Q1L,50393,label_Hqql,label_Hqql,1,1.0,5.001286496053581e-08,0.9999500513076782,4.86592689412646e-05,6.97008435963653e-05
A_Hqql_correct,HToWW2Q1L,52440,label_Hqql,label_Hqql,1,1.0,5.7353268800852675e-08,0.9904248118400574,0.005922678392380476,0.011448477394878864
A_Hqql_correct,HToWW2Q1L,53426,label_Hqql,label_Hqql,1,1.0,4.1226808633609835e-08,0.9997637867927551,0.00023420857905875891,0.0003326142905279994
A_Hqql_correct,HToWW2Q1L,59372,label_Hqql,label_Hqql,1,1.0,3.04613685386812e-08,0.9999897480010986,8.230284038290847e-06,1.3185835086915176e-05
A_Hqql_correct,HToWW2Q1L,59818,label_Hqql,label_Hqql,1,1.0,3.718292518328781e-08,0.9993385672569275,0.0006364003056660295,0.000917936849873513
A_Hqql_correct,HToWW2Q1L,64357,label_Hqql,label_Hqql,1,1.0,5.574402806018952e-08,0.9973638653755188,0.002240559319034219,0.003471185453236103
A_Hqql_correct,HToWW2Q1L,64950,label_Hqql,label_Tbl,0,1.0,3.331575015863564e-08,0.4088527262210846,0.5898721814155579,0.8351076245307922
A_Hqql_correct,HToWW2Q1L,67425,label_Hqql,label_Hqql,1,1.0,5.71416549632886e-08,0.9995978474617004,2.918193558798521e-06,0.00048735440941527486
A_Hqql_correct,HToWW2Q1L,81010,label_Hqql,label_Hqql,1,1.0,3.076857524320076e-08,0.9829772710800171,0.01438304502516985,0.022340554744005203
A_Hqql_correct,HToWW2Q1L,88997,label_Hqql,label_Hqql,1,1.0,5.4699530238622174e-08,0.9997768998146057,0.00021538184955716133,0.00031009947997517884
A_Hqql_correct,HToWW2Q1L,89961,label_Hqql,label_Hqql,1,1.0,3.5716414714670464e-08,0.9998114705085754,9.65891158557497e-05,0.00022099570196587592
A_Hqql_correct,HToWW2Q1L,92201,label_Hqql,label_Hqql,1,1.0,5.677694758787766e-08,0.9999722242355347,2.2414851628127508e-05,3.5842382203554735e-05
A_Hqql_correct,HToWW2Q1L,95200,label_Hqql,label_Hqql,1,1.0,3.5501859230180344e-08,0.9792048335075378,0.01855154149234295,0.027904707938432693
A_Hqql_correct,HToWW2Q1L,96159,label_Hqql,label_Hqql,1,1.0,5.39706661584205e-08,0.9983595013618469,0.0016276350943371654,0.002310906769707799
A_Hqql_correct,HToWW2Q1L,99753,label_Hqql,label_Hqql,1,1.0,3.968738226944879e-08,0.975409984588623,0.024569978937506676,0.03476134315133095
A_Hqql_correct,HToWW2Q1L,3131,label_Hqql,label_Hqql,1,0.9999998807907104,6.370721905568644e-08,0.9967237114906311,0.003182381158694625,0.004567503463476896
A_Hqql_correct,HToWW2Q1L,4245,label_Hqql,label_Hqql,1,0.9999998807907104,6.040807676299664e-08,0.9997332692146301,0.00025737652322277427,0.00037057194276712835
A_Hqql_correct,HToWW2Q1L,5781,label_Hqql,label_Hqql,1,0.9999998807907104,6.181372924629613e-08,0.999942421913147,8.679177199155674e-07,6.805885641369969e-05
A_Hqql_correct,HToWW2Q1L,6321,label_Hqql,label_Hqql,1,0.9999998807907104,8.1611247537694e-08,0.9977458119392395,0.002242248272523284,0.003179334569722414
A_Hqql_correct,HToWW2Q1L,7875,label_Hqql,label_Hqql,1,0.9999998807907104,6.632859594901674e-08,0.9999457597732544,4.8495156079297885e-05,7.270833157235757e-05
A_Hqql_correct,HToWW2Q1L,9276,label_Hqql,label_Hqql,1,0.9999998807907104,7.804231927366345e-08,0.9714215993881226,0.028563566505908966,0.040405333042144775
A_Hqql_correct,HToWW2Q1L,9822,label_Hqql,label_Hqql,1,0.9999998807907104,8.824196839896103e-08,0.9986668825149536,0.0010707874316722155,0.0017156871035695076
A_Hqql_correct,HToWW2Q1L,18840,label_Hqql,label_Hqql,1,0.9999998807907104,6.631544380297782e-08,0.9999730587005615,4.81096003568382e-06,3.022428063559346e-05
A_Hqql_correct,HToWW2Q1L,20372,label_Hqql,label_Hqql,1,0.9999998807907104,7.805110158187745e-08,0.9999418258666992,5.6787379435263574e-05,8.116215758491307e-05
