event_index,true_label,pred_label,confidence,top3,leading_pt_particle,leading_pt,active_heads,hypothesis_tag,residual_status,forecast_explanation
197,label_Hqql,label_Tbl,0.9904725551605225,"[[""label_Tbl"", 0.9904725551605225], [""label_Hqql"", 0.00952628068625927], [""label_Tbqq"", 4.408640563724475e-07]]",0,420.1024475097656,"L0_ch40:48, L1_ch112:128, L1_ch0:16, L2_ch224:256, L2_ch32:64",Hqql activates Tbl-like core route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch112:128, L1_ch0:16 write evidence through particles [24, 0, 0]; tag=Hqql activates Tbl-like core route."
369,label_Tbl,label_Tbl,0.999944806098938,"[[""label_Tbl"", 0.999944806098938], [""label_Hqql"", 5.433215119410306e-05], [""label_Hbb"", 4.4825114287050383e-07]]",0,487.25653076171875,"L1_ch0:16, L0_ch40:48, L1_ch112:128, L2_ch32:64, L2_ch224:256",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch0:16, L0_ch40:48, L1_ch112:128 write evidence through particles [2, 27, 0]; tag=Tbl-like core-neighborhood route."
355,label_Tbl,label_Tbl,0.9999822378158569,"[[""label_Tbl"", 0.9999822378158569], [""label_Hqql"", 1.7780721464077942e-05], [""label_Hbb"", 7.834918491766985e-09]]",0,519.654052734375,"L1_ch112:128, L0_ch40:48, L1_ch0:16, L2_ch224:256, L2_ch32:64",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch112:128, L0_ch40:48, L1_ch0:16 write evidence through particles [0, 14, 0]; tag=Tbl-like core-neighborhood route."
332,label_Tbl,label_Tbl,0.9242042303085327,"[[""label_Tbl"", 0.9242042303085327], [""label_Hqql"", 0.07561925053596497], [""label_Tbqq"", 6.677348574157804e-05]]",0,252.05963134765625,"L0_ch40:48, L1_ch0:16, L1_ch112:128, L2_ch32:64, L2_ch160:192",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch0:16, L1_ch112:128 write evidence through particles [75, 4, 12]; tag=Tbl-like core-neighborhood route."
323,label_Tbl,label_Tbl,0.9998979568481445,"[[""label_Tbl"", 0.9998979568481445], [""label_Hqql"", 0.00010208517778664827], [""label_QCD"", 2.339716331789532e-08]]",0,391.753173828125,"L0_ch40:48, L1_ch112:128, L1_ch0:16, L2_ch224:256, L2_ch160:192",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch112:128, L1_ch0:16 write evidence through particles [1, 0, 0]; tag=Tbl-like core-neighborhood route."
334,label_Tbl,label_Tbl,0.999996542930603,"[[""label_Tbl"", 0.999996542930603], [""label_Hqql"", 3.500276989143458e-06], [""label_Hbb"", 6.118103357266591e-09]]",0,482.8270568847656,"L0_ch40:48, L1_ch112:128, L1_ch0:16, L2_ch224:256, L2_ch128:160",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch112:128, L1_ch0:16 write evidence through particles [18, 0, 1]; tag=Tbl-like core-neighborhood route."
340,label_Tbl,label_Tbl,0.9998855590820312,"[[""label_Tbl"", 0.9998855590820312], [""label_Hqql"", 0.00011374564201105386], [""label_Hbb"", 4.5894540789959137e-07]]",0,329.0126953125,"L1_ch112:128, L0_ch40:48, L1_ch0:16, L2_ch32:64, L2_ch128:160",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch112:128, L0_ch40:48, L1_ch0:16 write evidence through particles [0, 1, 0]; tag=Tbl-like core-neighborhood route."
337,label_Tbl,label_Tbl,0.9999998807907104,"[[""label_Tbl"", 0.9999998807907104], [""label_Hqql"", 1.6645900302592054e-07], [""label_QCD"", 6.741817659694505e-10]]",0,332.51971435546875,"L0_ch40:48, L1_ch0:16, L1_ch112:128, L2_ch224:256, L2_ch128:160",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch0:16, L1_ch112:128 write evidence through particles [19, 19, 0]; tag=Tbl-like core-neighborhood route."
327,label_Tbl,label_Tbl,1.0,"[[""label_Tbl"", 1.0], [""label_Hqql"", 4.573115575112752e-08], [""label_Hbb"", 5.207003717089265e-09]]",0,330.2943420410156,"L1_ch112:128, L1_ch0:16, L0_ch40:48, L2_ch128:160, L2_ch224:256",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch112:128, L1_ch0:16, L0_ch40:48 write evidence through particles [3, 20, 4]; tag=Tbl-like core-neighborhood route."
376,label_Tbl,label_Tbl,0.9999045133590698,"[[""label_Tbl"", 0.9999045133590698], [""label_Hqql"", 9.350385516881943e-05], [""label_Tbqq"", 1.6194472891584155e-06]]",0,216.5425567626953,"L1_ch112:128, L1_ch0:16, L0_ch40:48, L2_ch128:160, L2_ch160:192",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch112:128, L1_ch0:16, L0_ch40:48 write evidence through particles [11, 0, 5]; tag=Tbl-like core-neighborhood route."
362,label_Tbl,label_Tbl,0.9999998807907104,"[[""label_Tbl"", 0.9999998807907104], [""label_Hqql"", 9.101232478769816e-08], [""label_Hbb"", 2.2118726850095527e-09]]",0,181.8948211669922,"L1_ch0:16, L0_ch40:48, L1_ch112:128, L2_ch128:160, L2_ch160:192",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch0:16, L0_ch40:48, L1_ch112:128 write evidence through particles [8, 7, 18]; tag=Tbl-like core-neighborhood route."
373,label_Tbl,label_Tbl,0.998627781867981,"[[""label_Tbl"", 0.998627781867981], [""label_Hqql"", 0.001357023254968226], [""label_Hbb"", 1.1616670235525817e-05]]",0,167.03543090820312,"L0_ch40:48, L1_ch112:128, L1_ch0:16, L2_ch128:160, L2_ch160:192",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch112:128, L1_ch0:16 write evidence through particles [53, 12, 49]; tag=Tbl-like core-neighborhood route."
356,label_Tbl,label_Tbl,1.0,"[[""label_Tbl"", 1.0], [""label_Hbb"", 4.818456744715149e-09], [""label_Hqql"", 3.6813765369458906e-09]]",0,424.41094970703125,"L0_ch40:48, L1_ch112:128, L1_ch0:16, L2_ch128:160, L2_ch160:192",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch112:128, L1_ch0:16 write evidence through particles [3, 9, 9]; tag=Tbl-like core-neighborhood route."
342,label_Tbl,label_Tbl,0.999915599822998,"[[""label_Tbl"", 0.999915599822998], [""label_Hqql"", 8.421883103437722e-05], [""label_Tbqq"", 1.1779619057961099e-07]]",0,278.8143310546875,"L0_ch40:48, L1_ch0:16, L1_ch112:128, L2_ch128:160, L2_ch32:64",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch0:16, L1_ch112:128 write evidence through particles [31, 1, 0]; tag=Tbl-like core-neighborhood route."
365,label_Tbl,label_Tbl,0.9997895359992981,"[[""label_Tbl"", 0.9997895359992981], [""label_Hqql"", 0.00020932765619363636], [""label_Hbb"", 6.825680429756176e-07]]",0,147.4969940185547,"L0_ch40:48, L1_ch0:16, L1_ch112:128, L2_ch160:192, L2_ch128:160",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch0:16, L1_ch112:128 write evidence through particles [25, 1, 5]; tag=Tbl-like core-neighborhood route."
379,label_Tbl,label_Tbl,0.9802439212799072,"[[""label_Tbl"", 0.9802439212799072], [""label_Hqql"", 0.01585453562438488], [""label_Tbqq"", 0.0033587955404073]]",0,62.23419952392578,"L0_ch40:48, L1_ch112:128, L1_ch0:16, L2_ch160:192, L2_ch128:160",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch112:128, L1_ch0:16 write evidence through particles [4, 2, 59]; tag=Tbl-like core-neighborhood route."
351,label_Tbl,label_Tbl,0.8106634020805359,"[[""label_Tbl"", 0.8106634020805359], [""label_Hqql"", 0.18929757177829742], [""label_Hcc"", 9.873630915535614e-06]]",0,148.91407775878906,"L1_ch112:128, L1_ch0:16, L0_ch40:48, L2_ch160:192, L2_ch32:64",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L1_ch112:128, L1_ch0:16, L0_ch40:48 write evidence through particles [29, 0, 4]; tag=Tbl-like core-neighborhood route."
341,label_Tbl,label_Tbl,0.999972939491272,"[[""label_Tbl"", 0.999972939491272], [""label_Hqql"", 2.3620423235115595e-05], [""label_Hbb"", 3.3259266274399124e-06]]",0,133.78932189941406,"L0_ch40:48, L1_ch0:16, L1_ch112:128, L2_ch128:160, L2_ch32:64",Tbl-like core-neighborhood route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbl because active route heads L0_ch40:48, L1_ch0:16, L1_ch112:128 write evidence through particles [37, 0, 2]; tag=Tbl-like core-neighborhood route."
434,label_Tbqq,label_Tbqq,0.833284318447113,"[[""label_Tbqq"", 0.833284318447113], [""label_Wqq"", 0.04966912791132927], [""label_QCD"", 0.03998929262161255]]",0,172.40524291992188,"L0_ch40:48, L1_ch0:16, L1_ch112:128, L2_ch0:32, L2_ch192:224",late L2 core-readout route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbqq because active route heads L0_ch40:48, L1_ch0:16, L1_ch112:128 write evidence through particles [40, 12, 4]; tag=late L2 core-readout route."
445,label_Tbqq,label_Tbqq,0.9944144487380981,"[[""label_Tbqq"", 0.9944144487380981], [""label_Hbb"", 0.004088555928319693], [""label_QCD"", 0.0007906141690909863]]",0,134.31410217285156,"L1_ch0:16, L0_ch40:48, L1_ch112:128, L2_ch0:32, L2_ch192:224",late L2 core-readout route,RESIDUAL_SIGNAL_REMAINS,"Model predicts label_Tbqq because active route heads L1_ch0:16, L0_ch40:48, L1_ch112:128 write evidence through particles [0, 2, 0]; tag=late L2 core-readout route."
