source,target,kind,weight,formula,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
classifier:mod.fc,objective:Tbl-Hqql,classifier_to_objective,1.0,logits=fc(z),,,,,,,,,
classifier_dim:fc_dim_18,classifier:mod.fc,linear_direction,0.0,,18,,,,,,,,
classifier_dim:fc_dim_66,classifier:mod.fc,linear_direction,0.0,,66,,,,,,,,
classifier_dim:fc_dim_58,classifier:mod.fc,linear_direction,0.0,,58,,,,,,,,
classifier_dim:fc_dim_79,classifier:mod.fc,linear_direction,0.0,,79,,,,,,,,
classifier_dim:fc_dim_82,classifier:mod.fc,linear_direction,0.0,,82,,,,,,,,
classifier_dim:fc_dim_96,classifier:mod.fc,linear_direction,0.0,,96,,,,,,,,
classifier_dim:fc_dim_121,classifier:mod.fc,linear_direction,0.0,,121,,,,,,,,
classifier_dim:fc_dim_76,classifier:mod.fc,linear_direction,0.0,,76,,,,,,,,
classifier_dim:fc_dim_2,classifier:mod.fc,linear_direction,0.0,,2,,,,,,,,
classifier_dim:fc_dim_10,classifier:mod.fc,linear_direction,0.0,,10,,,,,,,,
classifier_dim:fc_dim_3,classifier:mod.fc,linear_direction,0.0,,3,,,,,,,,
classifier_dim:fc_dim_8,classifier:mod.fc,linear_direction,0.0,,8,,,,,,,,
classifier_dim:fc_dim_124,classifier:mod.fc,linear_direction,0.0,,124,,,,,,,,
classifier_dim:fc_dim_23,classifier:mod.fc,linear_direction,0.0,,23,,,,,,,,
classifier_dim:fc_dim_54,classifier:mod.fc,linear_direction,0.0,,54,,,,,,,,
classifier_dim:fc_dim_57,classifier:mod.fc,linear_direction,0.0,,57,,,,,,,,
classifier_dim:fc_dim_91,classifier:mod.fc,linear_direction,0.0,,91,,,,,,,,
classifier_dim:fc_dim_103,classifier:mod.fc,linear_direction,0.0,,103,,,,,,,,
classifier_dim:fc_dim_34,classifier:mod.fc,linear_direction,0.0,,34,,,,,,,,
classifier_dim:fc_dim_45,classifier:mod.fc,linear_direction,0.0,,45,,,,,,,,
classifier_dim:fc_dim_123,classifier:mod.fc,linear_direction,0.0,,123,,,,,,,,
classifier_dim:fc_dim_80,classifier:mod.fc,linear_direction,0.0,,80,,,,,,,,
classifier_dim:fc_dim_110,classifier:mod.fc,linear_direction,0.0,,110,,,,,,,,
classifier_dim:fc_dim_6,classifier:mod.fc,linear_direction,0.0,,6,,,,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.10175424837507308,,,signed_hqql_tbl,C_Tbl_correct,0.6104342564940453,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.12819481978658587,,,signed_hqql_tbl,C_Tbl_correct,0.2951381104066968,,,,,
residual_particle:mod.blocks.0,classifier:mod.fc,residual_to_classifier,-0.09798146126559004,,,signed_hqql_tbl,A_Hqql_correct,0.38182536186650395,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.13416982954367995,,,signed_hqql_tbl,C_Tbl_correct,0.1970232066232711,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.1459988218266517,,,signed_hqql_tbl,A_Hqql_correct,0.1459988218266517,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.11716102765058167,,,signed_hqql_tbl,C_Tbl_correct,0.2564958222210407,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.14379422552883625,,,signed_hqql_tbl,A_Hqql_correct,0.14379422552883625,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.09918362071039155,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.2914471747353673,,,,,
