analysis_group,source_group,source_root,entry_idx,true_label,pred_label,score_Hqql,score_Tbl,margin_Tbl_minus_Hqql,margin_Hqql_minus_Tbl
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,1069,label_Hqql,label_Hqql,1.0,2.8037931087965262e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,4369,label_Hqql,label_Hqql,1.0,2.649822761213727e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,17978,label_Hqql,label_Hqql,1.0,2.041116431428236e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,20290,label_Hqql,label_Hqql,1.0,2.1308988351620428e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,23852,label_Hqql,label_Hqql,1.0,8.696205533453849e-09,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,24518,label_Hqql,label_Hqql,1.0,7.98149879521759e-10,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,25471,label_Hqql,label_Hqql,1.0,1.6346803022315726e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,27032,label_Hqql,label_Hqql,1.0,6.313153999570886e-09,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,29648,label_Hqql,label_Hqql,1.0,1.0606576061888973e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,29857,label_Hqql,label_Hqql,1.0,1.198931265378178e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,32134,label_Hqql,label_Hqql,1.0,2.8667104245982955e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,38944,label_Hqql,label_Hqql,1.0,1.7469018231963673e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,40546,label_Hqql,label_Hqql,1.0,2.3511708135970366e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,41814,label_Hqql,label_Hqql,1.0,2.939919596656182e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,51486,label_Hqql,label_Hqql,1.0,1.8525464495766641e-09,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,51927,label_Hqql,label_Hqql,1.0,2.503975637946354e-10,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,57470,label_Hqql,label_Hqql,1.0,2.7118286283212e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,64111,label_Hqql,label_Hqql,1.0,1.615537037480408e-08,-1.0,1.0
A_Hqql_correct,HToWW2Q1L,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToWW2Q1L_120.root,64240,label_Hqql,label_Hqql,1.0,8.176188615038882e-09,-1.0,1.0
