objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_write_dot_grad,mean_abs_write_dot_grad,mean_context_grad_norm,mean_value_norm,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-CLS,A_Hqql_correct,0.10037651658058167,-0.3795470744371414,0.3795470744371414,0.039888862520456314,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,A_Hqql_correct,0.0794682115316391,-0.29225757122039797,0.29225757122039797,0.04268705435097218,152.1468505859375,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.0858232503135999,-0.2633848836024602,0.2633848836024602,0.03624476802845796,152.1468505859375,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.0838707722723484,-0.24017919530160725,0.24017919530160725,0.034714161534793675,152.1468505859375,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,electron<-CLS,A_Hqql_correct,0.09614025056362152,-0.1909879818558693,0.1909879818558693,0.02677915431559086,102.39976501464844,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-CLS,A_Hqql_correct,0.0777299977838993,-0.1677870884537697,0.1677870884537697,0.031204938888549805,102.39976501464844,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-electron,D_Tbl_to_Hqql,0.07485907897353172,-0.16752776503562927,0.16752776503562927,0.030295338481664658,152.14683532714844,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.08544157817959785,-0.1671374887228012,0.1671374887228012,0.03479222301393747,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Hqql_to_Tbl,0.07761894911527634,0.16486942768096924,0.16486942768096924,0.01888914220035076,152.1468505859375,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,A_Hqql_correct,0.080084428191185,-0.15689011414845785,0.15689011414845785,0.0267910851786534,102.39976501464844,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,A_Hqql_correct,0.08118113339878619,-0.14788305782712996,0.14788305782712996,0.026178468368016183,102.39976501464844,1.0
