analysis_group,source_group,source_root,entry_idx,true_label,pred_label,src_label,tgt_label,score_src,score_tgt,margin_tgt_minus_src,margin_src_minus_tgt,atlas_rank,builder
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,0,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9720051884651184,0.0008236466674134135,-0.971181541797705,0.971181541797705,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,1,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9933212399482727,0.0006660043145529926,-0.9926552356337197,0.9926552356337197,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,2,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9979215264320374,0.0002527042815927416,-0.9976688221504446,0.9976688221504446,3,pair_direct_legacy_replay
B_src_to_tgt,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,3,label_Hcc,label_Hbb,label_Hcc,label_Hbb,0.20018278062343597,0.6792851686477661,0.47910238802433014,-0.47910238802433014,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,4,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.44434085488319397,0.013425991870462894,-0.4309148630127311,0.4309148630127311,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,5,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.7880673408508301,0.05554521456360817,-0.7325221262872219,0.7325221262872219,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,6,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9777000546455383,0.0015875509707257152,-0.9761125036748126,0.9761125036748126,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,7,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.5768959522247314,0.10224326699972153,-0.4746526852250099,0.4746526852250099,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,8,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9852334856987,0.009848182089626789,-0.9753853036090732,0.9753853036090732,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,10,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.988732099533081,0.0039328462444245815,-0.9847992532886565,0.9847992532886565,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,11,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9977333545684814,0.0009850527858361602,-0.9967483017826453,0.9967483017826453,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,12,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.6544811725616455,0.07790596783161163,-0.5765752047300339,0.5765752047300339,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,13,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9776623845100403,0.021584708243608475,-0.9560776762664318,0.9560776762664318,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,14,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9017941355705261,0.09296048432588577,-0.8088336512446404,0.8088336512446404,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,17,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9309424757957458,0.010971274226903915,-0.9199712015688419,0.9199712015688419,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,18,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.7384167313575745,0.22461597621440887,-0.5138007551431656,0.5138007551431656,3,pair_direct_legacy_replay
A_src_correct,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,22,label_Hcc,label_Hcc,label_Hcc,label_Hbb,0.9448079466819763,0.011796945706009865,-0.9330110009759665,0.9330110009759665,3,pair_direct_legacy_replay
B_src_to_tgt,HToCC,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToCC_120.root,24,label_Hcc,label_Hbb,label_Hcc,label_Hbb,0.1290578991174698,0.6995063424110413,0.5704484432935715,-0.5704484432935715,3,pair_direct_legacy_replay
