step,token,token_id,component,layer,head,group,base_logit,patched_logit,causal_logit_contribution,logit_rel,kl_orig_to_patch,top1_match,patched_top1_token,neuron_ids,neuron_score_sum,neuron_score_max
0, To,2014,head,3,6,,19.875,19.875,0.0,0.011015224270522594,0.00046523689525201917,1.0, To,,,
0, To,2014,head,4,8,,19.875,19.890625,-0.015625,0.007319235242903233,0.00041487935231998563,1.0, To,,,
0, To,2014,head,11,11,,19.875,19.875,0.0,0.0026985295116901398,2.6293546397937462e-05,1.0, To,,,
0, To,2014,head,16,1,,19.875,19.875,0.0,0.003251006593927741,4.905909736407921e-05,1.0, To,,,
0, To,2014,head,21,9,,19.875,19.6875,0.1875,0.09321554005146027,0.008421849459409714,1.0, To,,,
0, To,2014,head,23,1,,19.875,18.890625,0.984375,0.17393705248832703,0.022650601342320442,1.0, To,,,
0, To,2014,head,23,4,,19.875,19.53125,0.34375,0.04451100155711174,0.009615259245038033,1.0, To,,,
0, To,2014,head,23,8,,19.875,19.84375,0.03125,0.037000883370637894,0.0008040897664614022,1.0, To,,,
0, To,2014,mlp_group,0,,top32_neurons,19.875,19.359375,0.515625,0.2816365361213684,0.12267348915338516,1.0, To,"[457, 1281, 3048, 2640, 70, 335, 1968, 3637, 50, 2845, 1216, 2546, 308, 113, 12, 1778, 997, 3266, 3652, 1333, 3113, 4552, 1410, 4786, 1799, 4850, 688, 3799, 3004, 3761, 163, 3120]",8.39537539333105,1.7088539600372314
0, To,2014,mlp_group,1,,top32_neurons,19.875,19.640625,0.234375,0.06013938784599304,0.01393094938248396,1.0, To,"[2932, 2874, 3052, 1711, 2662, 1619, 3653, 3370, 4156, 2237, 3380, 378, 671, 392, 1578, 1887, 1023, 2125, 3516, 1595, 1985, 3137, 2461, 125, 1051, 740, 3384, 4747, 4536, 982, 2805, 3880]",8.550454467535019,0.637965977191925
0, To,2014,mlp_group,2,,top32_neurons,19.875,19.953125,-0.078125,0.03200697898864746,0.00415891082957387,1.0, To,"[3162, 488, 264, 1975, 1621, 886, 3430, 446, 1630, 1473, 4541, 673, 3705, 4160, 1758, 3145, 3534, 743, 2991, 517, 1979, 2104, 4862, 2687, 4019, 2793, 4036, 369, 3942, 1253, 3926, 1954]",6.199913367629051,0.33681604266166687
0, To,2014,mlp_group,3,,top32_neurons,19.875,19.75,0.125,0.043787822127342224,0.0053221480920910835,1.0, To,"[4021, 2215, 3499, 4101, 4728, 3345, 2651, 3596, 1688, 674, 3892, 1050, 3169, 2563, 196, 3781, 2905, 640, 2960, 2128, 3130, 3016, 861, 2512, 2673, 4727, 3659, 2048, 4627, 472, 3175, 518]",8.714246422052383,0.9935651421546936
