step,token,token_id,component,layer,head,group,base_logit,patched_logit,causal_logit_contribution,logit_rel,kl_orig_to_patch,top1_match,patched_top1_token,neuron_ids,neuron_score_sum,neuron_score_max
0, The,576,head,3,6,,22.796875,22.78125,0.015625,0.009795377030968666,8.15759995020926e-05,1.0, The,,,
0, The,576,head,4,8,,22.796875,22.84375,-0.046875,0.02098890021443367,0.0005079719703644514,1.0, The,,,
0, The,576,head,11,11,,22.796875,22.796875,0.0,0.004176486749202013,1.7848851712187752e-05,1.0, The,,,
0, The,576,head,16,1,,22.796875,22.796875,0.0,0.004544032271951437,7.947975973365828e-06,1.0, The,,,
0, The,576,head,21,9,,22.796875,22.78125,0.015625,0.10333532840013504,0.002074794378131628,1.0, The,,,
0, The,576,head,23,1,,22.796875,19.6875,3.109375,0.2895207703113556,0.027066996321082115,1.0, The,,,
0, The,576,head,23,4,,22.796875,22.484375,0.3125,0.05718878656625748,0.006875934544950724,1.0, The,,,
0, The,576,head,23,8,,22.796875,22.78125,0.015625,0.04169394448399544,0.0003620795614551753,1.0, The,,,
0, The,576,mlp_group,0,,top32_neurons,22.796875,18.25,4.546875,0.44458454847335815,1.3369543552398682,0.0, Here,"[3048, 3486, 50, 2405, 4786, 392, 2886, 308, 4852, 2546, 196, 3526, 4405, 2456, 297, 140, 3181, 1874, 2903, 3599, 1410, 918, 4341, 2854, 74, 1402, 1495, 4171, 3449, 3117, 1110, 2003]",7.6933463960886,0.8937392234802246
0, The,576,mlp_group,1,,top32_neurons,22.796875,23.0,-0.203125,0.06864216178655624,0.006689790636301041,1.0, The,"[2874, 3052, 4431, 1619, 3516, 1540, 3599, 4227, 820, 205, 2887, 671, 3675, 3331, 3393, 254, 3573, 2658, 1381, 55, 3927, 4269, 3457, 2702, 3078, 3794, 4835, 2049, 1125, 4156, 4368, 1801]",6.220988787710667,0.4493115246295929
0, The,576,mlp_group,2,,top32_neurons,22.796875,22.625,0.171875,0.03320337459445,0.0011208062060177326,1.0, The,"[264, 4318, 4395, 2586, 188, 2003, 488, 2701, 1621, 318, 2793, 3370, 133, 4418, 3559, 673, 4466, 2040, 1218, 4731, 4163, 523, 1777, 886, 451, 3986, 773, 4002, 834, 3446, 1570, 2744]",6.4485229551792145,0.6537067294120789
0, The,576,mlp_group,3,,top32_neurons,22.796875,22.46875,0.328125,0.06014958769083023,0.003942801617085934,1.0, The,"[3477, 2430, 995, 2325, 4728, 1164, 1071, 2981, 1917, 2493, 1213, 732, 1250, 2215, 4499, 2673, 1506, 196, 3105, 2116, 4123, 2079, 4791, 3170, 980, 4626, 1828, 2128, 674, 4670, 3499, 345]",8.459561437368393,0.6325129270553589
0, The,576,mlp_group,4,,top32_neurons,22.796875,21.921875,0.875,0.17338907718658447,0.05626044422388077,1.0, The,"[3160, 880, 1828, 2973, 658, 1240, 3286, 1872, 1113, 1418, 3522, 1433, 2808, 2636, 3364, 2115, 2805, 4646, 3937, 1888, 4270, 2225, 1360, 122, 4138, 2868, 1441, 1163, 4465, 4541, 3382, 3033]",14.914905428886414,2.131009578704834
0, The,576,mlp_group,5,,top32_neurons,22.796875,22.078125,0.71875,0.16296930611133575,0.04018193855881691,1.0, The,"[2990, 1868, 4091, 2584, 713, 833, 419, 79, 1042, 1835, 129, 611, 220, 1618, 4791, 3906, 3358, 134, 3199, 3475, 469, 3480, 4858, 2863, 2706, 2575, 3021, 1336, 4116, 4037, 3924, 2593]",14.78042396903038,1.7230943441390991
0, The,576,mlp_group,6,,top32_neurons,22.796875,22.65625,0.140625,0.06666211783885956,0.0044372850097715855,1.0, The,"[784, 2330, 1576, 1218, 3781, 3493, 3084, 1577, 3993, 4085, 2900, 2325, 4585, 4398, 4613, 4238, 730, 2193, 2593, 4034, 1045, 2043, 4016, 3844, 3251, 2308, 2765, 3281, 2427, 1688, 1006, 755]",13.479167595505714,1.3736532926559448
0, The,576,mlp_group,7,,top32_neurons,22.796875,22.21875,0.578125,0.08476205170154572,0.016668276861310005,1.0, The,"[3757, 3285, 3700, 2359, 3022, 932, 3258, 4745, 2346, 1959, 568, 975, 4286, 2872, 2592, 3512, 1305, 3633, 2423, 3381, 2176, 4737, 4467, 1288, 4413, 1149, 3505, 3010, 620, 2364, 4322, 147]",15.359393745660782,1.290897250175476
