event_idx,group,focus_head,particle_idx,particle_role,pid,particle_pt,l1_rank,l1_activation_norm,best_lepton_idx,deltaR_to_best_lepton,is_in_best_lepton_knn,best_lepton_knn_rank,same_particle_in_L2_ch128_top3,l2_rank_if_top3,l2_activation_norm_if_top3
12308,A_protected_highiso,L1_ch80:96,13,hadron_neighbor,charged_hadron,6.92225980758667,1,30.83702850341797,0,0.251986026763916,0,99,0,,0.0
12308,A_protected_highiso,L1_ch80:96,9,hard_hadron,charged_hadron,13.192272186279297,2,26.32023048400879,0,0.23807936906814575,0,99,0,,0.0
12438,A_protected_highiso,L1_ch80:96,43,hadron_neighbor,neutral_hadron,0.9285606741905212,1,39.99186706542969,0,0.6610185503959656,0,99,0,,0.0
12438,A_protected_highiso,L1_ch80:96,35,hadron_neighbor,neutral_hadron,1.7866588830947876,3,23.87316131591797,0,0.15338242053985596,1,16,0,,0.0
12442,A_protected_highiso,L1_ch80:96,14,hadron_neighbor,charged_hadron,12.732325553894043,1,29.1105899810791,0,0.29250243306159973,0,99,0,,0.0
12509,A_protected_highiso,L1_ch80:96,29,hadron_neighbor,charged_hadron,2.3122565746307373,2,28.39580535888672,0,0.16555091738700867,0,99,0,,0.0
12592,A_protected_highiso,L1_ch80:96,24,hadron_neighbor,charged_hadron,4.332542896270752,1,40.88063430786133,0,0.13492487370967865,0,99,0,,0.0
12592,A_protected_highiso,L1_ch80:96,25,nearest_hadron_to_best_lepton,charged_hadron,4.082335948944092,2,33.774986267089844,0,0.07841476798057556,1,3,0,,0.0
12592,A_protected_highiso,L1_ch80:96,27,hadron_neighbor,charged_hadron,3.3612921237945557,3,33.05109405517578,0,0.2673586308956146,0,99,0,,0.0
12784,A_protected_highiso,L1_ch80:96,47,hadron_neighbor,charged_hadron,0.5204013586044312,1,118.66419219970703,0,2.202969789505005,0,99,0,,0.0
12784,A_protected_highiso,L1_ch80:96,15,hadron_neighbor,neutral_hadron,5.2999958992004395,2,31.61504364013672,0,0.1763818860054016,1,11,0,,0.0
13089,A_protected_highiso,L1_ch80:96,33,hadron_neighbor,charged_hadron,5.485432147979736,1,27.1378116607666,1,0.18196284770965576,0,99,0,,0.0
13089,A_protected_highiso,L1_ch80:96,23,hadron_neighbor,charged_hadron,7.622853755950928,3,25.801977157592773,1,0.21422897279262543,0,99,0,,0.0
13279,A_protected_highiso,L1_ch80:96,16,hadron_neighbor,charged_hadron,7.502957820892334,1,23.53460693359375,0,0.19535201787948608,0,99,0,,0.0
13374,A_protected_highiso,L1_ch80:96,33,hadron_neighbor,neutral_hadron,1.5268819332122803,1,38.87137222290039,0,0.7361770868301392,0,99,0,,0.0
13374,A_protected_highiso,L1_ch80:96,42,hadron_neighbor,charged_hadron,0.40191951394081116,2,29.2365665435791,0,0.6561459302902222,0,99,0,,0.0
13529,A_protected_highiso,L1_ch80:96,15,hadron_neighbor,charged_hadron,5.94182825088501,3,33.91633605957031,0,0.12464120239019394,0,99,0,,0.0
14139,A_protected_highiso,L1_ch80:96,24,hadron_neighbor,neutral_hadron,5.09828519821167,1,33.803924560546875,0,0.4463134706020355,0,99,0,,0.0
14139,A_protected_highiso,L1_ch80:96,20,hadron_neighbor,charged_hadron,7.35692834854126,2,31.890743255615234,0,0.09505406022071838,1,16,0,,0.0
14139,A_protected_highiso,L1_ch80:96,12,hard_hadron,charged_hadron,10.670426368713379,3,22.215482711791992,0,0.13149751722812653,0,99,0,,0.0
14381,A_protected_highiso,L1_ch80:96,42,hadron_neighbor,charged_hadron,1.008749008178711,1,43.29481506347656,0,0.47501933574676514,0,99,0,,0.0
14381,A_protected_highiso,L1_ch80:96,46,hadron_neighbor,charged_hadron,0.2976926565170288,2,40.966400146484375,0,0.37091556191444397,0,99,0,,0.0
14381,A_protected_highiso,L1_ch80:96,36,hadron_neighbor,neutral_hadron,1.4513144493103027,3,38.21982955932617,0,0.6560309529304504,0,99,0,,0.0
14596,A_protected_highiso,L1_ch80:96,12,hard_hadron,charged_hadron,5.52780294418335,1,27.176130294799805,0,0.1648765355348587,1,15,0,,0.0
14596,A_protected_highiso,L1_ch80:96,28,hadron_neighbor,charged_hadron,3.3522279262542725,3,26.240625381469727,0,0.18556083738803864,0,99,0,,0.0
14600,A_protected_highiso,L1_ch80:96,33,hadron_neighbor,neutral_hadron,2.146258592605591,1,28.605751037597656,0,0.5809779167175293,0,99,0,,0.0
14600,A_protected_highiso,L1_ch80:96,16,hadron_neighbor,charged_hadron,7.28692102432251,3,24.811269760131836,0,0.2556021213531494,0,99,0,,0.0
14625,A_protected_highiso,L1_ch80:96,63,hadron_neighbor,charged_hadron,0.616908609867096,1,93.07274627685547,0,1.1190636157989502,0,99,0,,0.0
14625,A_protected_highiso,L1_ch80:96,28,hadron_neighbor,neutral_hadron,4.885854721069336,2,35.17210006713867,0,0.6644052863121033,0,99,0,,0.0
14991,A_protected_highiso,L1_ch80:96,21,hadron_neighbor,charged_hadron,7.662120819091797,1,33.01797103881836,0,0.22833622992038727,0,99,0,,0.0
