event_idx,true,true_label,pred,pred_label,conf,pred_logit,head_max_particle_energy,real_particles,top_particle_indices
2507,6,label_Zqq,6,label_Zqq,0.8236027359962463,1.3155508041381836,74.62555694580078,18,"[17, 12, 0, 14, 16, 15, 11, 9, 1, 7, 2, 3]"
1616,8,label_Tbqq,8,label_Tbqq,0.9925463795661926,0.9550610184669495,72.34293365478516,55,"[54, 24, 50, 43, 27, 52, 9, 30, 37, 34, 45, 39]"
1297,9,label_Tbl,9,label_Tbl,0.9999998807907104,3.5387606620788574,71.69532775878906,20,"[19, 17, 16, 10, 18, 12, 15, 4, 14, 7, 9, 3]"
1549,8,label_Tbqq,8,label_Tbqq,0.82765132188797,1.137129783630371,70.53165435791016,50,"[49, 48, 44, 32, 38, 7, 19, 22, 16, 40, 12, 31]"
1791,8,label_Tbqq,8,label_Tbqq,0.9044356346130371,1.5157263278961182,70.34109497070312,45,"[44, 39, 26, 27, 37, 16, 17, 18, 13, 0, 40, 42]"
1601,8,label_Tbqq,0,label_QCD,0.39286649227142334,-2.502591609954834,70.07672119140625,82,"[81, 60, 8, 41, 61, 77, 50, 39, 63, 66, 3, 74]"
2053,0,label_QCD,0,label_QCD,0.5923488736152649,-0.38645926117897034,69.52253723144531,54,"[44, 43, 19, 28, 40, 52, 4, 50, 25, 8, 47, 48]"
709,3,label_Hgg,3,label_Hgg,0.2994091212749481,-0.28676849603652954,68.98277282714844,42,"[41, 35, 32, 20, 39, 34, 1, 36, 0, 21, 28, 16]"
401,2,label_Hcc,2,label_Hcc,0.8700016140937805,0.9501180052757263,68.77068328857422,40,"[39, 6, 27, 34, 23, 28, 22, 36, 12, 31, 35, 38]"
1487,9,label_Tbl,9,label_Tbl,0.997191846370697,4.514758110046387,68.68572998046875,39,"[38, 37, 22, 11, 1, 35, 9, 33, 34, 10, 32, 31]"
747,3,label_Hgg,3,label_Hgg,0.5892381072044373,-0.18969693779945374,68.6409683227539,55,"[54, 42, 39, 37, 24, 43, 20, 32, 22, 1, 21, 38]"
1771,8,label_Tbqq,8,label_Tbqq,0.99489825963974,1.490574836730957,68.31487274169922,57,"[56, 53, 22, 35, 46, 40, 44, 20, 51, 17, 54, 32]"
1737,8,label_Tbqq,8,label_Tbqq,0.9822030067443848,1.3404541015625,67.9469985961914,73,"[72, 43, 67, 70, 19, 8, 66, 61, 68, 71, 64, 34]"
2270,0,label_QCD,0,label_QCD,0.9658820033073425,0.6837485432624817,67.92430114746094,41,"[40, 30, 31, 18, 26, 34, 20, 27, 8, 24, 17, 38]"
1651,8,label_Tbqq,8,label_Tbqq,0.8105021119117737,0.5596828460693359,67.88895416259766,80,"[79, 57, 53, 58, 35, 68, 69, 70, 46, 78, 77, 34]"
