event_idx,true,true_label,pred,pred_label,conf,pred_logit,super_max_particle_score,real_particles,effective_particles,top_particle_indices
3653,5,label_Hqql,5,label_Hqql,0.9841899275779724,2.983997106552124,5.196718215942383,26,49,"[0, 15, 25, 1, 21, 23, 24, 13, 18, 14, 12, 5, 19, 8, 22, 16]"
3458,5,label_Hqql,5,label_Hqql,0.9996488094329834,2.679938554763794,5.164773464202881,26,28,"[0, 23, 2, 1, 9, 11, 24, 25, 18, 21, 17, 22, 6, 19, 16, 4]"
4073,5,label_Hqql,5,label_Hqql,0.9995704293251038,2.662306785583496,5.147113800048828,30,45,"[0, 10, 25, 29, 28, 27, 18, 8, 13, 21, 5, 23, 24, 9, 22, 20]"
3346,5,label_Hqql,5,label_Hqql,0.9593855142593384,4.3249664306640625,5.1410956382751465,39,49,"[0, 2, 1, 26, 38, 24, 34, 23, 4, 20, 21, 16, 25, 3, 14, 29]"
3282,5,label_Hqql,5,label_Hqql,0.9999245405197144,3.9379217624664307,5.117623805999756,20,43,"[0, 1, 18, 13, 15, 16, 14, 12, 17, 2, 4, 8, 6, 19, 9, 11]"
3477,5,label_Hqql,5,label_Hqql,0.99908447265625,2.659560441970825,5.0932135581970215,25,43,"[0, 7, 20, 24, 12, 21, 23, 16, 17, 18, 2, 22, 14, 19, 8, 11]"
3931,5,label_Hqql,5,label_Hqql,0.9999632835388184,2.962926149368286,5.086535930633545,23,40,"[0, 1, 18, 17, 8, 15, 21, 22, 2, 20, 11, 19, 12, 3, 6, 14]"
3525,5,label_Hqql,5,label_Hqql,0.9992823004722595,3.4289872646331787,5.0709381103515625,32,43,"[0, 7, 30, 27, 23, 6, 28, 17, 4, 9, 18, 29, 22, 15, 12, 31]"
3375,5,label_Hqql,5,label_Hqql,0.9998637437820435,4.013278484344482,5.037026405334473,17,38,"[0, 13, 9, 7, 1, 2, 8, 12, 16, 14, 15, 5, 6, 4, 10, 11]"
3192,5,label_Hqql,5,label_Hqql,0.9937615990638733,3.827497720718384,5.036527156829834,18,47,"[0, 13, 15, 16, 17, 6, 8, 11, 7, 14, 12, 3, 5, 1, 10, 9]"
7974,7,label_Wqq,7,label_Wqq,0.6064655184745789,-1.384157419204712,5.027756214141846,49,49,"[0, 46, 44, 1, 2, 5, 8, 45, 4, 41, 24, 43, 31, 17, 20, 29]"
3329,5,label_Hqql,5,label_Hqql,0.9999934434890747,3.7168195247650146,5.021880149841309,21,53,"[0, 16, 14, 12, 18, 19, 20, 5, 4, 6, 11, 17, 1, 13, 2, 9]"
3101,5,label_Hqql,5,label_Hqql,0.9999512434005737,3.8663723468780518,5.009812831878662,21,34,"[0, 1, 13, 7, 8, 2, 20, 18, 19, 16, 3, 17, 14, 6, 4, 11]"
3330,5,label_Hqql,5,label_Hqql,0.9999957084655762,3.6508333683013916,4.989509105682373,16,53,"[0, 1, 8, 14, 11, 10, 12, 15, 13, 7, 2, 3, 9, 6, 4, 5]"
5121,9,label_Tbl,9,label_Tbl,0.9999911785125732,3.4185805320739746,4.988543510437012,27,42,"[0, 25, 1, 7, 9, 8, 26, 24, 22, 18, 23, 15, 17, 20, 21, 12]"
4063,5,label_Hqql,5,label_Hqql,0.8149993419647217,1.037716269493103,4.987092018127441,50,50,"[0, 46, 45, 3, 34, 37, 1, 26, 20, 31, 15, 36, 12, 22, 40, 23]"
5295,9,label_Tbl,9,label_Tbl,0.9999303817749023,3.155728816986084,4.9861674308776855,34,42,"[0, 32, 2, 33, 31, 19, 30, 23, 1, 29, 28, 21, 6, 3, 18, 8]"
3610,5,label_Hqql,5,label_Hqql,0.9972230195999146,3.2000112533569336,4.962615489959717,29,33,"[0, 23, 17, 27, 10, 20, 24, 11, 21, 16, 2, 19, 3, 12, 1, 26]"
3209,5,label_Hqql,5,label_Hqql,0.9979046583175659,1.9863263368606567,4.9580230712890625,32,45,"[0, 16, 28, 2, 1, 20, 4, 22, 10, 21, 18, 6, 11, 15, 14, 17]"
4069,5,label_Hqql,5,label_Hqql,0.9998471736907959,2.9360125064849854,4.954601764678955,24,34,"[0, 4, 15, 22, 1, 2, 3, 23, 12, 11, 9, 21, 10, 19, 16, 14]"
3598,5,label_Hqql,5,label_Hqql,0.9776914119720459,2.8569977283477783,4.952511787414551,27,39,"[0, 6, 25, 13, 26, 8, 10, 18, 12, 17, 1, 2, 24, 22, 20, 23]"
3486,5,label_Hqql,5,label_Hqql,0.9999655485153198,3.3420422077178955,4.949716567993164,29,35,"[0, 24, 7, 25, 18, 3, 21, 20, 28, 1, 26, 19, 16, 22, 10, 2]"
3865,5,label_Hqql,5,label_Hqql,0.8702153563499451,3.794563055038452,4.948277950286865,17,35,"[0, 14, 8, 15, 16, 10, 11, 4, 12, 1, 13, 7, 2, 9, 6, 5]"
3715,5,label_Hqql,5,label_Hqql,0.999832272529602,4.165286064147949,4.945679664611816,19,38,"[0, 9, 15, 18, 11, 1, 17, 16, 8, 14, 12, 2, 7, 5, 6, 13]"
3969,5,label_Hqql,5,label_Hqql,0.9999886751174927,3.779167413711548,4.944116592407227,20,38,"[0, 17, 11, 15, 18, 14, 1, 19, 10, 2, 13, 5, 12, 7, 16, 9]"
3484,5,label_Hqql,5,label_Hqql,0.9995546936988831,3.1229677200317383,4.9357781410217285,23,35,"[0, 6, 18, 5, 2, 15, 4, 11, 14, 22, 20, 8, 19, 3, 17, 9]"
3799,5,label_Hqql,5,label_Hqql,0.9997085928916931,3.8189265727996826,4.9342827796936035,21,27,"[0, 1, 2, 10, 17, 19, 18, 15, 20, 16, 3, 4, 9, 6, 14, 5]"
3806,5,label_Hqql,5,label_Hqql,0.9992566704750061,4.410303592681885,4.932669639587402,21,42,"[0, 13, 16, 1, 20, 7, 19, 15, 18, 6, 5, 4, 17, 9, 2, 12]"
