objective,head_id,pair_role,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,A_write_dot_grad,C_write_dot_grad,D_write_dot_grad,B_minus_A_write,B_minus_C_write,B_value_norm,B_context_grad_norm,support_score
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-CLS,0.07282802369445562,-0.18333797110244632,0.18333797110244632,0.008416034368565306,0.0,0.0,-0.19175400547101162,-0.18333797110244632,152.1468505859375,0.02770070033147931,0.3250494666135637
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,CLS<-CLS,0.0631693983450532,-0.1495625413954258,0.1495625413954258,0.12024084606673568,0.0,0.0,-0.2698033874621615,-0.1495625413954258,102.39976501464844,0.035855375695973635,0.321854870475363
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,0.0631693983450532,-0.1495625413954258,0.1495625413954258,0.10676010015110175,0.0,0.0,-0.25632264154652756,-0.1495625413954258,102.39976501464844,0.035855375695973635,0.31511449751754605
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,0.07282802369445562,-0.18333797110244632,0.18333797110244632,-0.029996348182774253,0.0,0.0,-0.15334162291967207,-0.18333797110244632,152.1468505859375,0.02770070033147931,0.3058432753378939
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,0.0,0.0,0.0,0.2373521327972412,0.0,0.0,-0.2373521327972412,0.0,0.0,0.0,0.1186760663986206
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,0.0,0.0,0.0,0.21833820641040802,0.0,0.0,-0.21833820641040802,0.0,0.0,0.0,0.10916910320520401
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,charged_hadron<-muon,0.0,0.0,0.0,0.17448429763317108,0.0,0.0,-0.17448429763317108,0.0,0.0,0.0,0.08724214881658554
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,photon<-CLS,0.0,0.0,0.0,0.14173092916607857,0.0,0.0,-0.14173092916607857,0.0,0.0,0.0,0.07086546458303929
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h6,charged_hadron<-electron,0.02472369745373726,0.034992702305316925,0.034992702305316925,0.0,0.0,0.0,0.034992702305316925,0.034992702305316925,16.951765060424805,0.02641259878873825,0.06123722903430462
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,charged_hadron<-electron,0.024723701179027557,0.03499269485473633,0.03499269485473633,0.06608400121331215,0.0,-0.007319121155887842,-0.03109130635857582,0.03499269485473633,16.951763153076172,0.02641259878873825,0.05928652174770832
