objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_write_dot_grad,mean_abs_write_dot_grad,mean_context_grad_norm,mean_value_norm,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,B_Hqql_to_Tbl,0.10333703458309174,-0.45483896136283875,0.45483896136283875,0.03260976821184158,152.1468505859375,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.07661079615354538,-0.3268972635269165,0.3268972635269165,0.03236868977546692,152.1468505859375,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,B_Hqql_to_Tbl,0.08015436306595802,-0.26481737301219255,0.26481737301219255,0.026666459860280156,152.1468505859375,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,A_Hqql_correct,0.0794682115316391,-0.20702162738889457,0.2104576850309968,0.03385050222277641,152.1468505859375,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,B_Hqql_to_Tbl,0.068585604429245,-0.20778019726276398,0.20778019726276398,0.04669877514243126,102.39976501464844,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,B_Hqql_to_Tbl,0.0765746459364891,-0.1540801227092743,0.1540801227092743,0.0313996858894825,102.39976501464844,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,B_Hqql_to_Tbl,0.06654307432472706,-0.14713966846466064,0.14713966846466064,0.03794205188751221,102.39976501464844,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.08544157817959785,-0.14642203599214554,0.14642203599214554,0.033570464700460434,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,B_Hqql_to_Tbl,0.07033481076359749,-0.13876663357950747,0.13876663357950747,0.02084369072690606,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.0838707722723484,-0.1045677910442464,0.13813719927566126,0.02988216408994049,152.1468505859375,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.0858232503135999,-0.1302422657608986,0.1302422657608986,0.03169102221727371,152.1468505859375,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-muon,A_Hqql_correct,0.10033280029892921,0.12577041424810886,0.12577041424810886,0.04819660820066929,37.30373573303223,0.125
