analysis_group,source_group,source_root,entry_idx,true_label,pred_label,src_label,tgt_label,score_src,score_tgt,margin_tgt_minus_src,margin_src_minus_tgt,atlas_rank,builder,pair_original_analysis_group,score_Hqql,score_Tbl,margin_Tbl_minus_Hqql,margin_Hqql_minus_Tbl,adapter_src_label,adapter_tgt_label
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,2,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.7547245621681213,0.00021601299522444606,-0.7545085491728969,0.7545085491728969,6,pair_direct_legacy_replay,A_src_correct,0.7547245621681213,0.00021601299522444606,-0.7545085491728969,0.7545085491728969,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,3,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.9901276230812073,0.004634734243154526,-0.9854928888380527,0.9854928888380527,6,pair_direct_legacy_replay,A_src_correct,0.9901276230812073,0.004634734243154526,-0.9854928888380527,0.9854928888380527,label_Hbb,label_Hgg
B_Hqql_to_Tbl,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,4,label_Hbb,label_Hgg,label_Hbb,label_Hgg,0.18919691443443298,0.6371440291404724,0.44794711470603943,-0.44794711470603943,6,pair_direct_legacy_replay,B_src_to_tgt,0.18919691443443298,0.6371440291404724,0.44794711470603943,-0.44794711470603943,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,5,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.9160913228988647,0.04334910213947296,-0.8727422207593918,0.8727422207593918,6,pair_direct_legacy_replay,A_src_correct,0.9160913228988647,0.04334910213947296,-0.8727422207593918,0.8727422207593918,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,6,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.996461808681488,0.00041843022336252034,-0.9960433784581255,0.9960433784581255,6,pair_direct_legacy_replay,A_src_correct,0.996461808681488,0.00041843022336252034,-0.9960433784581255,0.9960433784581255,label_Hbb,label_Hgg
B_Hqql_to_Tbl,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,7,label_Hbb,label_Hgg,label_Hbb,label_Hgg,0.052279386669397354,0.9152342677116394,0.862954881042242,-0.862954881042242,6,pair_direct_legacy_replay,B_src_to_tgt,0.052279386669397354,0.9152342677116394,0.862954881042242,-0.862954881042242,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,8,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.4155718684196472,0.3474481999874115,-0.06812366843223572,0.06812366843223572,6,pair_direct_legacy_replay,A_src_correct,0.4155718684196472,0.3474481999874115,-0.06812366843223572,0.06812366843223572,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,9,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.6550185084342957,0.001472072908654809,-0.6535464355256408,0.6535464355256408,6,pair_direct_legacy_replay,A_src_correct,0.6550185084342957,0.001472072908654809,-0.6535464355256408,0.6535464355256408,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,12,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.9434979557991028,0.0009986096993088722,-0.9424993460997939,0.9424993460997939,6,pair_direct_legacy_replay,A_src_correct,0.9434979557991028,0.0009986096993088722,-0.9424993460997939,0.9424993460997939,label_Hbb,label_Hgg
A_Hqql_correct,HToBB,/home/maxwelhelp/Рабочий стол/JetClassOfficial/val_5M/HToBB_120.root,13,label_Hbb,label_Hbb,label_Hbb,label_Hgg,0.32438769936561584,0.05230264365673065,-0.2720850557088852,0.2720850557088852,6,pair_direct_legacy_replay,A_src_correct,0.32438769936561584,0.05230264365673065,-0.2720850557088852,0.2720850557088852,label_Hbb,label_Hgg
