event_index,true_label,baseline_pred,patched_pred,head_id,patch_mode,patched_indices,route_top_particle,route_top_is_particle0,route_top_is_leading,route_knn_contains_particle0,route_knn_contains_leading,baseline_conf,patched_conf_for_baseline_pred,delta_baseline_pred_logit,delta_true_logit,flipped
197,label_Hqql,label_Tbl,label_QCD,L2_ch224:256,remove_top_particle,[0],0,1,1,1,1,0.9904725551605225,0.00020569938351400197,-25.822492599487305,-25.18022346496582,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch224:256,remove_knn_neighbors,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch224:256,remove_top_plus_knn,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_Hqql,L2_ch224:256,random_same_count,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 19, 20, 22]",0,1,1,1,1,0.9904725551605225,0.46267175674438477,0.35322999954223633,5.14694881439209,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch128:160,remove_top_particle,[0],0,1,1,1,1,0.9904725551605225,0.00020569938351400197,-25.822492599487305,-25.18022346496582,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch128:160,remove_knn_neighbors,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch128:160,remove_top_plus_knn,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_Hqql,L2_ch128:160,random_same_count,"[1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 20, 21, 24]",0,1,1,1,1,0.9904725551605225,0.310730904340744,0.31822776794433594,5.759059906005859,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch32:64,remove_top_particle,[0],0,1,1,1,1,0.9904725551605225,0.00020569938351400197,-25.822492599487305,-25.18022346496582,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch32:64,remove_knn_neighbors,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch32:64,remove_top_plus_knn,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_Tbl,L2_ch32:64,random_same_count,"[1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 19, 24]",0,1,1,1,1,0.9904725551605225,0.6141809821128845,0.8903999328613281,5.069605827331543,0
197,label_Hqql,label_Tbl,label_QCD,L2_ch0:32,remove_top_particle,[0],0,1,1,1,1,0.9904725551605225,0.00020569938351400197,-25.822492599487305,-25.18022346496582,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch0:32,remove_knn_neighbors,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_QCD,L2_ch0:32,remove_top_plus_knn,"[0, 10, 18, 23, 25, 35, 43, 60, 68, 75, 85, 93, 100, 110, 118, 125]",0,1,1,1,1,0.9904725551605225,0.00020009711442980915,-26.662294387817383,-27.010051727294922,1
197,label_Hqql,label_Tbl,label_Hqql,L2_ch0:32,random_same_count,"[1, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22]",0,1,1,1,1,0.9904725551605225,0.25375738739967346,-0.27567148208618164,5.4471282958984375,1
369,label_Tbl,label_Tbl,label_Hcc,L2_ch224:256,remove_top_particle,[0],0,1,1,1,1,0.999944806098938,5.09620804223232e-05,-15.369053840637207,-15.369053840637207,1
369,label_Tbl,label_Tbl,label_Hcc,L2_ch224:256,remove_knn_neighbors,"[0, 8, 14, 24, 31, 44, 50, 60, 67, 72, 80, 86, 96, 103, 108, 116]",0,1,1,1,1,0.999944806098938,1.6362873793696053e-05,-15.913182258605957,-15.913182258605957,1
369,label_Tbl,label_Tbl,label_Hcc,L2_ch224:256,remove_top_plus_knn,"[0, 8, 14, 24, 31, 44, 50, 60, 67, 72, 80, 86, 96, 103, 108, 116]",0,1,1,1,1,0.999944806098938,1.6362873793696053e-05,-15.913182258605957,-15.913182258605957,1
369,label_Tbl,label_Tbl,label_Tbl,L2_ch224:256,random_same_count,"[2, 3, 6, 10, 12, 13, 15, 16, 18, 19, 21, 23, 26, 27, 28, 30]",0,1,1,1,1,0.999944806098938,0.9989264607429504,1.1682853698730469,1.1682853698730469,0
369,label_Tbl,label_Tbl,label_Hcc,L2_ch128:160,remove_top_particle,[0],0,1,1,1,1,0.999944806098938,5.09620804223232e-05,-15.369053840637207,-15.369053840637207,1
369,label_Tbl,label_Tbl,label_Hcc,L2_ch128:160,remove_knn_neighbors,"[0, 8, 14, 24, 31, 44, 50, 60, 67, 72, 80, 86, 96, 103, 108, 116]",0,1,1,1,1,0.999944806098938,1.6362873793696053e-05,-15.913182258605957,-15.913182258605957,1
369,label_Tbl,label_Tbl,label_Hcc,L2_ch128:160,remove_top_plus_knn,"[0, 8, 14, 24, 31, 44, 50, 60, 67, 72, 80, 86, 96, 103, 108, 116]",0,1,1,1,1,0.999944806098938,1.6362873793696053e-05,-15.913182258605957,-15.913182258605957,1
369,label_Tbl,label_Tbl,label_Tbl,L2_ch128:160,random_same_count,"[1, 3, 7, 9, 12, 13, 15, 17, 21, 22, 23, 27, 28, 30, 32, 33]",0,1,1,1,1,0.999944806098938,0.687130331993103,0.3766145706176758,0.3766145706176758,0
