test,event,donor,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
3A_real_hqql_hadron,12293,12929,8,label_Tbl,label_Hqql,1,1,7.353003740310669,electron,electron
3A_control_qcd_hadron,12293,34315,8,label_Tbl,label_QCD,0,1,6.048513889312744,electron,photon
3A_real_hqql_hadron,12298,14605,8,label_Tbl,label_Tbl,0,0,1.571719765663147,electron,charged_hadron
3A_control_qcd_hadron,12298,35624,8,label_Tbl,label_QCD,0,1,1.8047829866409302,electron,charged_hadron
3A_real_hqql_hadron,12364,16293,8,label_Tbl,label_Tbl,0,0,-0.10500061511993408,neutral_hadron,photon
3A_control_qcd_hadron,12364,35435,8,label_Tbl,label_QCD,0,1,1.2946499586105347,neutral_hadron,neutral_hadron
3A_real_hqql_hadron,12434,15270,8,label_Tbl,label_Tbl,0,0,2.6731683015823364,muon,electron
3A_control_qcd_hadron,12434,33215,8,label_Tbl,label_Tbl,0,0,3.655559778213501,muon,neutral_hadron
3A_real_hqql_hadron,12551,13286,8,label_Tbl,label_Tbl,0,0,0.6745897531509399,electron,muon
3A_control_qcd_hadron,12551,36429,8,label_Tbl,label_Tbl,0,0,0.21016216278076172,electron,neutral_hadron
3A_real_hqql_hadron,12563,13588,8,label_Tbl,label_Hqql,1,1,2.4411312341690063,muon,muon
3A_control_qcd_hadron,12563,33787,8,label_Tbl,label_Hqql,1,1,1.7044402360916138,muon,charged_hadron
3A_real_hqql_hadron,12577,15991,8,label_Tbl,label_Tbl,0,0,-1.1518961191177368,electron,muon
3A_control_qcd_hadron,12577,34707,8,label_Tbl,label_QCD,0,1,0.6494516134262085,electron,neutral_hadron
3A_real_hqql_hadron,12598,14089,8,label_Tbl,label_Hqql,1,1,3.939618706703186,electron,muon
3A_control_qcd_hadron,12598,33813,8,label_Tbl,label_Hqql,1,1,5.94205641746521,electron,neutral_hadron
3A_real_hqql_hadron,12619,13732,8,label_Tbl,label_Tbl,0,0,-0.7996515035629272,electron,electron
3A_control_qcd_hadron,12619,32996,8,label_Tbl,label_QCD,0,1,-1.6692049503326416,electron,neutral_hadron
3A_real_hqql_hadron,12649,13666,8,label_Tbl,label_Tbl,0,0,2.2568347454071045,muon,neutral_hadron
3A_control_qcd_hadron,12649,34856,8,label_Tbl,label_Tbl,0,0,2.288613438606262,muon,charged_hadron
3A_real_hqql_hadron,12699,13574,8,label_Tbl,label_Tbl,0,0,-0.8355495929718018,muon,muon
3A_control_qcd_hadron,12699,34789,8,label_Tbl,label_Hqql,1,1,2.0600260496139526,muon,charged_hadron
3A_real_hqql_hadron,12707,14989,8,label_Tbl,label_Hqql,1,1,2.2864354848861694,muon,electron
3A_control_qcd_hadron,12707,34353,8,label_Tbl,label_Tbl,0,0,-2.095158815383911,muon,photon
3A_real_hqql_hadron,12717,14284,8,label_Tbl,label_Tbl,0,0,0.4308907985687256,electron,charged_hadron
3A_control_qcd_hadron,12717,36051,8,label_Tbl,label_Tbl,0,0,-1.6424901485443115,electron,charged_hadron
3A_real_hqql_hadron,12778,12949,8,label_Tbl,label_Tbl,0,0,5.024041414260864,electron,muon
3A_control_qcd_hadron,12778,33050,8,label_Tbl,label_Tbl,0,0,3.586548328399658,electron,charged_hadron
3A_real_hqql_hadron,12819,15977,8,label_Tbl,label_Hqql,1,1,2.321928024291992,electron,electron
3A_control_qcd_hadron,12819,36485,8,label_Tbl,label_Hcc,0,1,0.775506854057312,electron,charged_hadron
3A_real_hqql_hadron,12827,14994,8,label_Tbl,label_Tbl,0,0,2.1386518478393555,electron,neutral_hadron
3A_control_qcd_hadron,12827,36039,8,label_Tbl,label_Hqql,1,1,4.74460506439209,electron,charged_hadron
3A_real_hqql_hadron,12874,13118,8,label_Tbl,label_Hqql,1,1,2.4251132011413574,muon,muon
3A_control_qcd_hadron,12874,35616,8,label_Tbl,label_Hqql,1,1,1.8899626731872559,muon,photon
3A_real_hqql_hadron,12882,14991,8,label_Tbl,label_Hqql,1,1,1.3514018654823303,electron,muon
3A_control_qcd_hadron,12882,35770,8,label_Tbl,label_Hqql,1,1,2.0873433351516724,electron,photon
3A_real_hqql_hadron,12914,14389,8,label_Tbl,label_Hqql,1,1,3.4397737979888916,photon,neutral_hadron
3A_control_qcd_hadron,12914,36714,8,label_Tbl,label_Hqql,1,1,3.079206347465515,photon,photon
3A_real_hqql_hadron,12917,12368,8,label_Tbl,label_Tbl,0,0,0.27065038681030273,electron,muon
3A_control_qcd_hadron,12917,36441,8,label_Tbl,label_Hqql,1,1,2.0356239080429077,electron,photon
3A_real_hqql_hadron,12937,13578,8,label_Tbl,label_Tbl,0,0,-0.7880862951278687,electron,photon
3A_control_qcd_hadron,12937,35500,8,label_Tbl,label_Hqql,1,1,2.4776638746261597,electron,charged_hadron
3A_real_hqql_hadron,12946,12420,8,label_Tbl,label_Hqql,1,1,3.3736172914505005,muon,charged_hadron
3A_control_qcd_hadron,12946,36728,8,label_Tbl,label_Hqql,1,1,2.2698733806610107,muon,charged_hadron
3A_real_hqql_hadron,12962,12721,8,label_Tbl,label_Hqql,1,1,3.9049317836761475,muon,electron
3A_control_qcd_hadron,12962,34244,8,label_Tbl,label_Hqql,1,1,5.78349757194519,muon,charged_hadron
3A_real_hqql_hadron,12982,14952,8,label_Tbl,label_Hqql,1,1,2.170771598815918,electron,charged_hadron
3A_control_qcd_hadron,12982,32940,8,label_Tbl,label_Hqql,1,1,3.348769426345825,electron,photon
3A_real_hqql_hadron,12996,13181,8,label_Tbl,label_Hqql,1,1,3.857177972793579,muon,charged_hadron
3A_control_qcd_hadron,12996,34936,8,label_Tbl,label_Hqql,1,1,1.2876834869384766,muon,neutral_hadron
3A_real_hqql_hadron,13045,12923,8,label_Tbl,label_Hqql,1,1,0.7671651840209961,electron,muon
3A_control_qcd_hadron,13045,35791,8,label_Tbl,label_QCD,0,1,3.432811141014099,electron,neutral_hadron
3A_real_hqql_hadron,13065,15575,8,label_Tbl,label_Hqql,1,1,2.0842024087905884,charged_hadron,charged_hadron
3A_control_qcd_hadron,13065,35617,8,label_Tbl,label_QCD,0,1,1.4532389640808105,charged_hadron,charged_hadron
3A_real_hqql_hadron,13107,14763,8,label_Tbl,label_Hqql,1,1,4.512527227401733,photon,muon
3A_control_qcd_hadron,13107,32826,8,label_Tbl,label_Tbl,0,0,0.27836674451828003,photon,charged_hadron
3A_real_hqql_hadron,13108,14511,8,label_Tbl,label_Tbl,0,0,-0.8758050203323364,electron,muon
3A_control_qcd_hadron,13108,33688,8,label_Tbl,label_Hqql,1,1,2.9168673753738403,electron,photon
3A_real_hqql_hadron,13112,16106,8,label_Tbl,label_Tbl,0,0,3.2454843521118164,electron,electron
3A_control_qcd_hadron,13112,34809,8,label_Tbl,label_QCD,0,1,2.3842525482177734,electron,charged_hadron
3A_real_hqql_hadron,13152,12772,8,label_Tbl,label_Hqql,1,1,2.357431173324585,electron,muon
3A_control_qcd_hadron,13152,33125,8,label_Tbl,label_Hqql,1,1,2.2270439863204956,electron,charged_hadron
3A_real_hqql_hadron,13236,14589,8,label_Tbl,label_Hqql,1,1,0.9929367303848267,muon,electron
3A_control_qcd_hadron,13236,33431,8,label_Tbl,label_Hqql,1,1,1.0968737602233887,muon,neutral_hadron
3A_real_hqql_hadron,13239,13444,8,label_Tbl,label_Hqql,1,1,2.0571460723876953,electron,neutral_hadron
3A_control_qcd_hadron,13239,32794,8,label_Tbl,label_QCD,0,1,-0.31633663177490234,electron,charged_hadron
3A_real_hqql_hadron,13252,15294,8,label_Tbl,label_Hqql,1,1,5.826450824737549,electron,charged_hadron
3A_control_qcd_hadron,13252,36370,8,label_Tbl,label_Tbl,0,0,0.3134593963623047,electron,muon
3A_real_hqql_hadron,13302,14068,8,label_Tbl,label_Hqql,1,1,2.027463436126709,electron,charged_hadron
3A_control_qcd_hadron,13302,34596,8,label_Tbl,label_Tbl,0,0,-0.4213649034500122,electron,photon
3A_real_hqql_hadron,13347,14921,8,label_Tbl,label_Hqql,1,1,0.29004043340682983,electron,electron
3A_control_qcd_hadron,13347,36478,8,label_Tbl,label_Hqql,1,1,2.1804703176021576,electron,charged_hadron
3A_real_hqql_hadron,13377,14669,8,label_Tbl,label_Tbl,0,0,-0.20556485652923584,electron,charged_hadron
3A_control_qcd_hadron,13377,32981,8,label_Tbl,label_Tbl,0,0,0.014245748519897461,electron,photon
3A_real_hqql_hadron,13384,13432,8,label_Tbl,label_Hqql,1,1,3.328058362007141,electron,electron
3A_control_qcd_hadron,13384,33639,8,label_Tbl,label_Tbl,0,0,0.2034308910369873,electron,charged_hadron
3A_real_hqql_hadron,13441,13758,8,label_Tbl,label_Hqql,1,1,2.2646650075912476,muon,muon
3A_control_qcd_hadron,13441,33353,8,label_Tbl,label_Hqql,1,1,2.8738014698028564,muon,muon
3A_real_hqql_hadron,13449,14756,8,label_Tbl,label_QCD,0,1,-0.10805690288543701,muon,charged_hadron
3A_control_qcd_hadron,13449,33666,8,label_Tbl,label_Hqql,1,1,3.2438915967941284,muon,neutral_hadron
3A_real_hqql_hadron,13473,16270,8,label_Tbl,label_Tbl,0,0,-3.5163493156433105,electron,electron
3A_control_qcd_hadron,13473,36404,8,label_Tbl,label_QCD,0,1,0.7716631889343262,electron,charged_hadron
3A_real_hqql_hadron,13559,15487,8,label_Tbl,label_QCD,0,1,0.06764793395996094,neutral_hadron,neutral_hadron
3A_control_qcd_hadron,13559,35034,8,label_Tbl,label_QCD,0,1,0.8113183975219727,neutral_hadron,neutral_hadron
3A_real_hqql_hadron,13581,12711,8,label_Tbl,label_Tbl,0,0,1.1397778987884521,electron,charged_hadron
3A_control_qcd_hadron,13581,35720,8,label_Tbl,label_Tbl,0,0,-2.3669281005859375,electron,charged_hadron
3A_real_hqql_hadron,13583,13951,8,label_Tbl,label_Tbl,0,0,0.06785964965820312,electron,muon
3A_control_qcd_hadron,13583,33605,8,label_Tbl,label_Hqql,1,1,3.113523244857788,electron,charged_hadron
3A_real_hqql_hadron,13595,14753,8,label_Tbl,label_Hqql,1,1,5.941453218460083,electron,neutral_hadron
3A_control_qcd_hadron,13595,33852,8,label_Tbl,label_Tbl,0,0,1.9758741855621338,electron,neutral_hadron
3A_real_hqql_hadron,13602,15351,8,label_Tbl,label_Hqql,1,1,2.511787533760071,muon,muon
3A_control_qcd_hadron,13602,35804,8,label_Tbl,label_QCD,0,1,4.571924448013306,muon,neutral_hadron
3A_real_hqql_hadron,13622,14897,8,label_Tbl,label_Hqql,1,1,2.190664052963257,charged_hadron,muon
3A_control_qcd_hadron,13622,36680,8,label_Tbl,label_QCD,0,1,-5.507234573364258,charged_hadron,neutral_hadron
3A_real_hqql_hadron,13628,14993,8,label_Tbl,label_Tbl,0,0,-0.5838229656219482,muon,electron
3A_control_qcd_hadron,13628,36575,8,label_Tbl,label_Hqql,1,1,3.7344794273376465,muon,photon
3A_real_hqql_hadron,13657,16337,8,label_Tbl,label_Hqql,1,1,4.665392279624939,electron,electron
3A_control_qcd_hadron,13657,33299,8,label_Tbl,label_Tbl,0,0,0.08884847164154053,electron,charged_hadron
3A_real_hqql_hadron,13667,12295,8,label_Tbl,label_Hqql,1,1,1.841996192932129,electron,charged_hadron
3A_control_qcd_hadron,13667,34903,8,label_Tbl,label_QCD,0,1,1.433616280555725,electron,charged_hadron
3A_real_hqql_hadron,13674,12573,8,label_Tbl,label_Hqql,1,1,1.4625301957130432,muon,muon
3A_control_qcd_hadron,13674,32989,8,label_Tbl,label_Hqql,1,1,2.834826946258545,muon,charged_hadron
3A_real_hqql_hadron,13730,15794,8,label_Tbl,label_Hqql,1,1,2.271475315093994,muon,muon
3A_control_qcd_hadron,13730,36745,8,label_Tbl,label_Hqql,1,1,2.0882843732833862,muon,charged_hadron
3A_real_hqql_hadron,13746,15578,8,label_Tbl,label_Hqql,1,1,3.342811107635498,muon,muon
3A_control_qcd_hadron,13746,33666,8,label_Tbl,label_Hqql,1,1,4.039120316505432,muon,neutral_hadron
3A_real_hqql_hadron,13747,14680,8,label_Tbl,label_Hqql,1,1,1.0846865773200989,muon,muon
3A_control_qcd_hadron,13747,36350,8,label_Tbl,label_QCD,0,1,2.044730305671692,muon,charged_hadron
3A_real_hqql_hadron,13752,16200,8,label_Tbl,label_Hqql,1,1,0.4568643569946289,charged_hadron,charged_hadron
3A_control_qcd_hadron,13752,34642,8,label_Tbl,label_QCD,0,1,0.10164856910705566,charged_hadron,charged_hadron
3A_real_hqql_hadron,13787,14856,8,label_Tbl,label_Hqql,1,1,2.3590866327285767,electron,electron
3A_control_qcd_hadron,13787,33080,8,label_Tbl,label_Hqql,1,1,3.029336452484131,electron,charged_hadron
3A_real_hqql_hadron,13809,15438,8,label_Tbl,label_Tbl,0,0,1.450976848602295,muon,electron
3A_control_qcd_hadron,13809,32783,8,label_Tbl,label_Tbl,0,0,-0.23295211791992188,muon,charged_hadron
3A_real_hqql_hadron,13810,12724,8,label_Tbl,label_Hqql,1,1,3.540907859802246,electron,electron
3A_control_qcd_hadron,13810,36575,8,label_Tbl,label_Hqql,1,1,1.9673885107040405,electron,photon
3A_real_hqql_hadron,13827,15195,8,label_Tbl,label_Hqql,1,1,4.800845980644226,muon,muon
3A_control_qcd_hadron,13827,34207,8,label_Tbl,label_Hqql,1,1,2.9480191469192505,muon,photon
3A_real_hqql_hadron,13849,15971,8,label_Tbl,label_Hqql,1,1,2.4772735834121704,muon,electron
3A_control_qcd_hadron,13849,34743,8,label_Tbl,label_Hqql,1,1,4.919527769088745,muon,charged_hadron
3A_real_hqql_hadron,13934,16233,8,label_Tbl,label_Hqql,1,1,4.516475319862366,muon,muon
3A_control_qcd_hadron,13934,36529,8,label_Tbl,label_QCD,0,1,1.3694273233413696,muon,photon
3A_real_hqql_hadron,13965,13682,8,label_Tbl,label_Hqql,1,1,2.083445906639099,electron,electron
3A_control_qcd_hadron,13965,33430,8,label_Tbl,label_Hqql,1,1,1.9208018779754639,electron,charged_hadron
3A_real_hqql_hadron,13995,13200,8,label_Tbl,label_Hqql,1,1,1.300774097442627,muon,electron
3A_control_qcd_hadron,13995,34414,8,label_Tbl,label_Tbl,0,0,-0.098349928855896,muon,photon
3A_real_hqql_hadron,13997,15854,8,label_Tbl,label_Tbl,0,0,2.6845916509628296,muon,muon
3A_control_qcd_hadron,13997,32815,8,label_Tbl,label_QCD,0,1,2.440924882888794,muon,charged_hadron
3A_real_hqql_hadron,14071,16055,8,label_Tbl,label_Tbl,0,0,-1.2059708833694458,electron,muon
3A_control_qcd_hadron,14071,33912,8,label_Tbl,label_QCD,0,1,4.639509439468384,electron,neutral_hadron
3A_real_hqql_hadron,14081,14403,8,label_Tbl,label_Tbl,0,0,0.10131454467773438,neutral_hadron,electron
3A_control_qcd_hadron,14081,35149,8,label_Tbl,label_Hqql,1,1,5.676021337509155,neutral_hadron,photon
3A_real_hqql_hadron,14108,13872,8,label_Tbl,label_Hqql,1,1,3.9462239742279053,photon,muon
3A_control_qcd_hadron,14108,36240,8,label_Tbl,label_Hqql,1,1,3.041139841079712,photon,photon
3A_real_hqql_hadron,14109,15152,8,label_Tbl,label_Hqql,1,1,1.6184345483779907,photon,charged_hadron
3A_control_qcd_hadron,14109,35011,8,label_Tbl,label_Hqql,1,1,3.7886966466903687,photon,neutral_hadron
3A_real_hqql_hadron,14131,13815,8,label_Tbl,label_Hqql,1,1,0.9067842960357666,electron,electron
3A_control_qcd_hadron,14131,34021,8,label_Tbl,label_Hqql,1,1,1.237022876739502,electron,charged_hadron
3A_real_hqql_hadron,14137,14694,8,label_Tbl,label_Tbl,0,0,0.12550559639930725,electron,muon
3A_control_qcd_hadron,14137,33710,8,label_Tbl,label_Zqq,0,1,-0.10380706191062927,electron,neutral_hadron
3A_real_hqql_hadron,14195,14348,8,label_Tbl,label_Hqql,1,1,6.3203794956207275,electron,muon
3A_control_qcd_hadron,14195,33550,8,label_Tbl,label_Tbl,0,0,1.8089103698730469,electron,charged_hadron
3A_real_hqql_hadron,14204,15230,8,label_Tbl,label_Tbl,0,0,-1.638197660446167,electron,neutral_hadron
3A_control_qcd_hadron,14204,36628,8,label_Tbl,label_Tbl,0,0,-0.8353184461593628,electron,charged_hadron
3A_real_hqql_hadron,14218,16183,8,label_Tbl,label_Tbl,0,0,-0.19052627682685852,electron,photon
3A_control_qcd_hadron,14218,35555,8,label_Tbl,label_QCD,0,1,1.6862967014312744,electron,charged_hadron
3A_real_hqql_hadron,14273,14464,8,label_Tbl,label_Hqql,1,1,2.9794594049453735,neutral_hadron,electron
3A_control_qcd_hadron,14273,34232,8,label_Tbl,label_QCD,0,1,0.35367846488952637,neutral_hadron,charged_hadron
3A_real_hqql_hadron,14275,15480,8,label_Tbl,label_Hqql,1,1,2.1237690448760986,muon,photon
3A_control_qcd_hadron,14275,36655,8,label_Tbl,label_Hqql,1,1,4.008403301239014,muon,photon
3A_real_hqql_hadron,14363,14944,8,label_Tbl,label_Tbl,0,0,-0.7655014991760254,muon,muon
3A_control_qcd_hadron,14363,33762,8,label_Tbl,label_Tbl,0,0,1.5320325195789337,muon,charged_hadron
3A_real_hqql_hadron,14401,14548,8,label_Tbl,label_Hqql,1,1,2.275747776031494,muon,muon
3A_control_qcd_hadron,14401,34166,8,label_Tbl,label_QCD,0,1,3.1726717948913574,muon,neutral_hadron
3A_real_hqql_hadron,14486,15474,8,label_Tbl,label_Tbl,0,0,0.4906421899795532,electron,electron
3A_control_qcd_hadron,14486,34694,8,label_Tbl,label_Hqql,1,1,5.721547603607178,electron,charged_hadron
3A_real_hqql_hadron,14528,12299,8,label_Tbl,label_Hqql,1,1,3.909360647201538,electron,electron
3A_control_qcd_hadron,14528,35920,8,label_Tbl,label_Hqql,1,1,3.7122366428375244,electron,charged_hadron
3A_real_hqql_hadron,14549,13480,8,label_Tbl,label_Hqql,1,1,2.489627718925476,neutral_hadron,electron
3A_control_qcd_hadron,14549,33843,8,label_Tbl,label_Hqql,1,1,1.3629727363586426,neutral_hadron,charged_hadron
3A_real_hqql_hadron,14658,13127,8,label_Tbl,label_Tbl,0,0,0.7453082799911499,charged_hadron,neutral_hadron
3A_control_qcd_hadron,14658,34568,8,label_Tbl,label_Tbl,0,0,-0.6542390584945679,charged_hadron,neutral_hadron
3A_real_hqql_hadron,14673,12331,8,label_Tbl,label_Hqql,1,1,3.4058949947357178,charged_hadron,neutral_hadron
3A_control_qcd_hadron,14673,34281,8,label_Tbl,label_Hqql,1,1,0.6720674335956573,charged_hadron,charged_hadron
3A_real_hqql_hadron,14700,12470,8,label_Tbl,label_Hqql,1,1,1.6328809261322021,electron,electron
3A_control_qcd_hadron,14700,32799,8,label_Tbl,label_QCD,0,1,4.720759034156799,electron,charged_hadron
3A_real_hqql_hadron,14711,12852,8,label_Tbl,label_Tbl,0,0,1.685322642326355,muon,muon
3A_control_qcd_hadron,14711,34267,8,label_Tbl,label_Hqql,1,1,3.3768805265426636,muon,charged_hadron
3A_real_hqql_hadron,14716,14243,8,label_Tbl,label_Tbl,0,0,-0.8069874048233032,muon,charged_hadron
3A_control_qcd_hadron,14716,33479,8,label_Tbl,label_Hqql,1,1,2.907988667488098,muon,photon
3A_real_hqql_hadron,14733,14667,8,label_Tbl,label_Hqql,1,1,5.459717035293579,electron,muon
