suite,text,source,term,key_pos,T,pred_term_mean_on_key,predicted_mass_delta_sign,actual_mass_delta,actual_mass_delta_sign,sign_match,head_A_rel,head_Y_delta_rel,logit_rel,kl_orig_to_patch,top1_match,loss_delta
code,Write a Python function that reverses a linked list.,3:6,k_affine,0,11,1.1773004531860352,-1,-0.18720269203186035,-1,True,0.324699729681015,0.6419728994369507,0.017931146547198296,0.0051528350450098515,1.0,0.0001842975616455078
code,Write a Python function that reverses a linked list.,3:6,k_affine,1,11,0.7819649577140808,-1,-0.06112849712371826,-1,True,0.11386876553297043,0.2775048017501831,0.0061556315049529076,0.0006529566016979516,1.0,-0.0009002685546875
code,Write a Python function that reverses a linked list.,3:6,k_affine,2,11,-0.5404326915740967,1,0.02393493428826332,1,True,0.04507758468389511,0.10054195672273636,0.0036019240505993366,0.0001839816541178152,1.0,-0.0011522769927978516
code,Write a Python function that reverses a linked list.,3:6,k_affine,3,11,-0.5728350877761841,1,0.031741946935653687,1,True,0.06513171643018723,0.07926413416862488,0.0022356915287673473,0.00016040039190556854,1.0,0.001691579818725586
code,Write a Python function that reverses a linked list.,3:6,k_affine,4,11,-0.562070906162262,1,0.021136675029993057,1,True,0.04457251355051994,0.08779434859752655,0.0019300761632621288,0.00011534975783433765,1.0,0.004685640335083008
code,Write a Python function that reverses a linked list.,3:6,k_affine,8,11,-2.1806812286376953,1,0.0313199982047081,1,True,0.10345830023288727,0.13593795895576477,0.002079698024317622,7.541125523857772e-05,1.0,-0.0009331703186035156
code,Write a Python function that reverses a linked list.,3:6,k_affine,10,11,0.1700342446565628,-1,-0.0005929894978180528,-1,True,0.003451139898970723,0.0036433811765164137,0.0,4.647918672162632e-08,1.0,0.0
code,Implement binary search over a sorted list in Python.,3:6,k_affine,0,10,1.2201482057571411,-1,-0.20925068855285645,-1,True,0.32335859537124634,1.1586180925369263,0.014144712127745152,0.00388645613566041,1.0,0.0077266693115234375
code,Implement binary search over a sorted list in Python.,3:6,k_affine,1,10,-0.009334064088761806,1,-0.001384250819683075,-1,False,0.008460620418190956,0.04278610274195671,0.00289515289478004,0.0001471315772505477,1.0,0.003247976303100586
code,Implement binary search over a sorted list in Python.,3:6,k_affine,2,10,-0.9492737054824829,1,0.06631924584507942,1,True,0.12688513100147247,0.4824199080467224,0.006775227375328541,0.0008113438379950821,1.0,0.0016713142395019531
code,Implement binary search over a sorted list in Python.,3:6,k_affine,3,10,-1.6251516342163086,1,0.12807447090744972,1,True,0.25215888023376465,0.6242378354072571,0.004717052448540926,0.0004299228894524276,1.0,0.0012044906616210938
code,Implement binary search over a sorted list in Python.,3:6,k_affine,4,10,-1.5756672620773315,1,0.04708729963749647,1,True,0.09680552035570145,0.34858185052871704,0.002678224816918373,0.00016381850582547486,1.0,-0.0006246566772460938
code,Implement binary search over a sorted list in Python.,3:6,k_affine,8,10,-1.8693723678588867,1,0.009425451280549169,1,True,0.03631673380732536,0.1904706358909607,0.001828663982450962,5.7101842685369775e-05,1.0,-0.0005309581756591797
