step,token,token_id,component,layer,head,group,base_logit,patched_logit,causal_logit_contribution,logit_rel,kl_orig_to_patch,top1_match,patched_top1_token,neuron_ids,neuron_score_sum,neuron_score_max
0, The,576,head,3,6,,18.875,18.90625,-0.03125,0.011347457766532898,0.00039038306567817926,1.0, The,,,
0, The,576,head,4,8,,18.875,18.875,0.0,0.007303654681891203,0.0001344505581073463,1.0, The,,,
0, The,576,head,11,11,,18.875,18.859375,0.015625,0.005175866186618805,4.857008752878755e-05,1.0, The,,,
0, The,576,head,16,1,,18.875,18.859375,0.015625,0.0028379743453115225,2.0349689293652773e-05,1.0, The,,,
0, The,576,head,21,9,,18.875,18.5625,0.3125,0.08530423790216446,0.0049266754649579525,1.0, The,,,
0, The,576,head,23,1,,18.875,18.421875,0.453125,0.14269693195819855,0.005862000863999128,1.0, The,,,
0, The,576,head,23,4,,18.875,18.5,0.375,0.039187632501125336,0.012295374646782875,1.0, The,,,
0, The,576,head,23,8,,18.875,18.875,0.0,0.02315794862806797,0.00041777518345043063,1.0, The,,,
0, The,576,mlp_group,0,,top32_neurons,18.875,18.015625,0.859375,0.24920012056827545,0.12857617437839508,1.0, The,"[3048, 50, 3486, 4786, 2886, 392, 308, 4852, 2405, 2546, 3526, 4405, 196, 297, 2456, 1874, 1410, 1402, 1495, 918, 4341, 3181, 3266, 2903, 74, 2854, 516, 1088, 4171, 3599, 1110, 3851]",7.38441651314497,0.9089708924293518
0, The,576,mlp_group,1,,top32_neurons,18.875,18.96875,-0.09375,0.036079950630664825,0.0036379671655595303,1.0, The,"[2874, 1619, 3052, 4431, 3516, 3573, 1540, 3675, 3861, 254, 205, 1595, 1738, 671, 4227, 3599, 4835, 3794, 3331, 3393, 3078, 55, 1490, 1135, 2658, 4719, 4269, 2875, 3091, 378, 183, 2144]",5.957369476556778,0.38372573256492615
0, The,576,mlp_group,2,,top32_neurons,18.875,19.03125,-0.15625,0.04329333454370499,0.004509607329964638,1.0, The,"[264, 4395, 2003, 2586, 4466, 886, 133, 3370, 2701, 1218, 2184, 773, 273, 673, 3911, 2802, 2437, 1570, 834, 1245, 1188, 4318, 506, 477, 2635, 2181, 3045, 692, 411, 4731, 4303, 3612]",5.016708351671696,0.4697690010070801
0, The,576,mlp_group,3,,top32_neurons,18.875,18.828125,0.046875,0.08858597278594971,0.018639210611581802,1.0, The,"[4101, 674, 1213, 2512, 3363, 4627, 1983, 2149, 2477, 2430, 3477, 3963, 4408, 1523, 1050, 572, 995, 3545, 3752, 4499, 1793, 3430, 543, 2673, 1833, 4466, 3345, 2493, 2259, 1917, 2869, 1716]",9.688630029559135,0.5851657390594482
0, The,576,mlp_group,4,,top32_neurons,18.875,18.5625,0.3125,0.10415278375148773,0.026074254885315895,1.0, The,"[2176, 979, 605, 1872, 2473, 3988, 177, 215, 730, 3364, 3033, 1251, 1015, 2225, 300, 4823, 396, 2600, 4541, 2914, 2162, 1433, 4472, 4418, 4051, 1989, 2805, 3711, 1023, 2959, 1049, 4338]",11.780090987682343,0.6127361059188843
0, The,576,mlp_group,5,,top32_neurons,18.875,18.6875,0.1875,0.0712224617600441,0.014726430177688599,1.0, The,"[2447, 4091, 419, 2584, 1440, 1042, 1179, 79, 3475, 4791, 2760, 3011, 1346, 2442, 2575, 4642, 3366, 469, 958, 2046, 1618, 989, 2242, 1752, 2234, 1336, 1886, 1482, 3807, 2186, 2250, 4266]",13.502290293574333,0.9756300449371338
0, The,576,mlp_group,6,,top32_neurons,18.875,18.3125,0.5625,0.1858893632888794,0.07790522277355194,1.0, The,"[1893, 3308, 1254, 3856, 2683, 3702, 2686, 2043, 4354, 3258, 3310, 4085, 146, 2113, 2356, 904, 4211, 3844, 2179, 2108, 1307, 1192, 1332, 1590, 1443, 4373, 2843, 1272, 1514, 2275, 3852, 2838]",16.336910873651505,1.415685772895813
