objective,head_id,pair_role,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,A_write_dot_grad,C_write_dot_grad,D_write_dot_grad,B_minus_A_write,B_minus_C_write,B_value_norm,B_context_grad_norm,support_score
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-CLS,0.13107580319046974,-0.5464827045798302,0.5464827045798302,0.20310155831975862,0.0,0.0,-0.7495842628995888,-0.5464827045798302,152.1468505859375,0.035125702153891325,1.057895512174582
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,electron<-CLS,0.1409662440419197,-0.5568303465843201,0.5568303465843201,0.13981089217122644,0.0,0.0,-0.6966412387555465,-0.5568303465843201,152.1468505859375,0.033509754575788975,1.0443585526081733
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,muon<-CLS,0.12118536233901978,-0.5361350625753403,0.5361350625753403,0.17151510156691074,0.0,0.0,-0.707650164142251,-0.5361350625753403,152.1468505859375,0.036741649731993675,1.0239939102903008
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,muon<-muon,0.10697951260954142,-0.46001802757382393,0.46097859367728233,0.0,0.0,0.0,-0.46001802757382393,-0.46001802757382393,124.43200016021729,0.03180326451547444,0.8052716897800565
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,electron<-CLS,0.12314457073807716,-0.29679062962532043,0.29679062962532043,0.1075034593231976,0.0,0.0,-0.40429408894851804,-0.29679062962532043,102.39976501464844,0.032020228914916515,0.5731353315059096
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,muon<-muon,0.11334774270653725,-0.3149284925311804,0.33800082840025425,0.007911648193839937,-0.7376868676316614,0.3699465182920297,-0.3228401407250203,0.422758375100481,94.4469223022461,0.031803267542272806,0.5608487699937541
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,CLS<-CLS,0.11842278204858303,-0.26999786868691444,0.26999786868691444,0.12288710498251021,0.0,0.0,-0.39288497366942465,-0.26999786868691444,102.39976501464844,0.03093767026439309,0.5339398226933554
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,muon<-CLS,0.1137009933590889,-0.24320510774850845,0.24320510774850845,0.1330248834565282,0.0,0.0,-0.37622999120503664,-0.24320510774850845,102.39976501464844,0.029855111613869667,0.4921213802881539
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,CLS<-muon,0.0794881339451032,-0.2638271865725983,0.2650150114080004,0.0,0.0,0.0,-0.2638271865725983,-0.2638271865725983,79.7159229006086,0.03534545988908836,0.4619945327108975
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,electron<-electron,0.07949587050825357,-0.24035693518817425,0.24093067832291126,0.0,0.0,0.0,-0.24035693518817425,-0.24035693518817425,84.04806327819824,0.020137809216976166,0.4207680723629892
