feature,protected_mean,confused_mean,diff_protected_minus_confused,ratio_protected_over_confused,std_effect,direction,protected_n,confused_n
particle0_knn_photon_frac,0.439453125,0.44886363636363635,-0.009410511363636354,0.9790348101732895,-0.05354562871188715,confused_higher_trigger_candidate,32,11
leading_knn_photon_frac,0.439453125,0.44886363636363635,-0.009410511363636354,0.9790348101732895,-0.05354562871188715,confused_higher_trigger_candidate,32,11
particle0_knn_charged_hadron_frac,0.3671875,0.36363636363636365,0.0035511363636363535,1.0097656249731446,0.021426612384262526,protected_higher_veto_candidate,32,11
leading_knn_charged_hadron_frac,0.3671875,0.36363636363636365,0.0035511363636363535,1.0097656249731446,0.021426612384262526,protected_higher_veto_candidate,32,11
particle0_knn_pt_sum,597.01824426651,599.4710624001243,-2.4528181336143007,0.9959083627426656,-0.009709762141403533,confused_higher_trigger_candidate,32,11
leading_knn_pt_sum,597.01824426651,599.4710624001243,-2.4528181336143007,0.9959083627426656,-0.009709762141403533,confused_higher_trigger_candidate,32,11
has_lepton,1.0,1.0,0.0,1.0,0.0,confused_higher_trigger_candidate,32,11
best_lepton_is_charged_hadron,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
best_lepton_is_lepton,1.0,1.0,0.0,1.0,0.0,confused_higher_trigger_candidate,32,11
best_lepton_is_neutral_hadron,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
best_lepton_is_photon,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
leading_is_neutral_hadron,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
leading_pt_rank,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
particle0_is_neutral_hadron,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
particle0_pt_rank,0.0,0.0,0.0,999.0,0.0,confused_higher_trigger_candidate,32,11
