question_id,rank,head_id,score,layer,output_role,top_class,lead_match,logit_corr,code,next_test
Q1_core_readout,1,L2_ch224:256,3.359193459167044,2,late readout strongly anchored on particle0/leading-pT core,label_Tbl,0.71796875,label_Hgg:-0.6442,"edge_convs.2 output[:, 224:256, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,2,L2_ch128:160,2.7532506901260576,2,late readout moderately core-aligned,label_Tbl,0.38515625,label_Tbl:0.6627,"edge_convs.2 output[:, 128:160, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,3,L2_ch0:32,2.130380508258248,2,late readout moderately core-aligned,label_Hqql,0.42265625,label_Hbb:-0.3352,"edge_convs.2 output[:, 0:32, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,4,L2_ch32:64,1.9212824450981538,2,late readout moderately core-aligned,label_Tbl,0.38125,label_QCD:-0.5493,"edge_convs.2 output[:, 32:64, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,5,L2_ch64:96,1.7248377834295239,2,late readout with distributed/non-core particle evidence,label_Tbl,0.23359375,label_QCD:-0.5693,"edge_convs.2 output[:, 64:96, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,6,L2_ch160:192,1.5614472285691021,2,late readout with distributed/non-core particle evidence,label_Tbl,0.24765625,label_Tbl:0.5801,"edge_convs.2 output[:, 160:192, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,7,L1_ch0:16,1.5609160494606424,1,middle relay mixing context with some core alignment,label_Tbl,0.3015625,label_H4q:-0.3682,"edge_convs.1 output[:, 0:16, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,8,L2_ch192:224,1.3987006719407704,2,late readout moderately core-aligned,label_Tbqq,0.30546875,label_QCD:-0.3177,"edge_convs.2 output[:, 192:224, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,9,L1_ch112:128,1.3848750699582895,1,middle context relay mostly away from literal leading particle,label_Tbl,0.17265625,label_Wqq:-0.2462,"edge_convs.1 output[:, 112:128, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q1_core_readout,10,L0_ch40:48,1.2071946063352625,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.16484375,label_Tbqq:0.1292,"edge_convs.0 output[:, 40:48, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,1,L1_ch16:32,2.539568931081158,1,middle context relay mostly away from literal leading particle,label_QCD,0.03828125,label_QCD:0.1070,"edge_convs.1 output[:, 16:32, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,2,L1_ch112:128,2.3169612040306675,1,middle context relay mostly away from literal leading particle,label_Tbl,0.17265625,label_Wqq:-0.2462,"edge_convs.1 output[:, 112:128, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,3,L0_ch40:48,2.1342117442545714,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.16484375,label_Tbqq:0.1292,"edge_convs.0 output[:, 40:48, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,4,L1_ch32:48,1.844807431742083,1,middle context relay mostly away from literal leading particle,label_Tbqq,0.065625,label_Hqql:-0.2501,"edge_convs.1 output[:, 32:48, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,5,L0_ch48:56,1.8204226200781704,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.04609375,label_Tbqq:0.1998,"edge_convs.0 output[:, 48:56, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,6,L0_ch0:8,1.7795864307103326,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.003125,label_Hqql:-0.2814,"edge_convs.0 output[:, 0:8, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,7,L0_ch8:16,1.7364099067432122,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.0078125,label_Tbqq:0.2794,"edge_convs.0 output[:, 8:16, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,8,L0_ch16:24,1.545486740225169,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.01953125,label_Tbqq:0.2299,"edge_convs.0 output[:, 16:24, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,9,L0_ch24:32,1.542756681560422,0,early local/context feature builder over non-leading neighbor particles,label_QCD,0.0796875,label_H4q:-0.1225,"edge_convs.0 output[:, 24:32, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q2_local_builders,10,L1_ch64:80,1.4504747981598487,1,middle context relay mostly away from literal leading particle,label_Tbqq,0.0,label_Tbqq:0.2741,"edge_convs.1 output[:, 64:80, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,1,L2_ch128:160,4.532836234891054,2,late readout moderately core-aligned,label_Tbl,0.38515625,label_Tbl:0.6627,"edge_convs.2 output[:, 128:160, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,2,L2_ch224:256,3.7663354076583784,2,late readout strongly anchored on particle0/leading-pT core,label_Tbl,0.71796875,label_Hgg:-0.6442,"edge_convs.2 output[:, 224:256, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,3,L1_ch32:48,3.6494905132164965,1,middle context relay mostly away from literal leading particle,label_Tbqq,0.065625,label_Hqql:-0.2501,"edge_convs.1 output[:, 32:48, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,4,L1_ch112:128,3.48759692276748,1,middle context relay mostly away from literal leading particle,label_Tbl,0.17265625,label_Wqq:-0.2462,"edge_convs.1 output[:, 112:128, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,5,L2_ch64:96,3.4787898120318856,2,late readout with distributed/non-core particle evidence,label_Tbl,0.23359375,label_QCD:-0.5693,"edge_convs.2 output[:, 64:96, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,6,L0_ch0:8,3.438465728196251,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.003125,label_Hqql:-0.2814,"edge_convs.0 output[:, 0:8, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,7,L2_ch0:32,3.3896641119860655,2,late readout moderately core-aligned,label_Hqql,0.42265625,label_Hbb:-0.3352,"edge_convs.2 output[:, 0:32, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,8,L0_ch16:24,3.180743717692481,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.01953125,label_Tbqq:0.2299,"edge_convs.0 output[:, 16:24, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,9,L0_ch48:56,3.179117331385578,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.04609375,label_Tbqq:0.1998,"edge_convs.0 output[:, 48:56, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q3_residual_axis,10,L2_ch160:192,3.0568967689606663,2,late readout with distributed/non-core particle evidence,label_Tbl,0.24765625,label_Tbl:0.5801,"edge_convs.2 output[:, 160:192, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,1,L2_ch128:160,3.874947606538169,2,late readout moderately core-aligned,label_Tbl,0.38515625,label_Tbl:0.6627,"edge_convs.2 output[:, 128:160, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,2,L1_ch16:32,3.51469223993018,1,middle context relay mostly away from literal leading particle,label_QCD,0.03828125,label_QCD:0.1070,"edge_convs.1 output[:, 16:32, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,3,L2_ch224:256,3.4746594601806002,2,late readout strongly anchored on particle0/leading-pT core,label_Tbl,0.71796875,label_Hgg:-0.6442,"edge_convs.2 output[:, 224:256, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,4,L1_ch112:128,3.356523773988957,1,middle context relay mostly away from literal leading particle,label_Tbl,0.17265625,label_Wqq:-0.2462,"edge_convs.1 output[:, 112:128, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,5,L0_ch40:48,3.0117188505898342,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.16484375,label_Tbqq:0.1292,"edge_convs.0 output[:, 40:48, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,6,L1_ch32:48,2.860245291347873,1,middle context relay mostly away from literal leading particle,label_Tbqq,0.065625,label_Hqql:-0.2501,"edge_convs.1 output[:, 32:48, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,7,L2_ch0:32,2.6507420616923705,2,late readout moderately core-aligned,label_Hqql,0.42265625,label_Hbb:-0.3352,"edge_convs.2 output[:, 0:32, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
Q4_trace_priority,8,L0_ch0:8,2.642651727452402,0,early local/context feature builder over non-leading neighbor particles,label_Tbqq,0.003125,label_Hqql:-0.2814,"edge_convs.0 output[:, 0:8, :]",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
