objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_write_dot_grad,mean_abs_write_dot_grad,mean_context_grad_norm,mean_value_norm,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,photon<-CLS,A_Hqql_correct,0.0794682115316391,0.2136389821767807,0.31644966304302213,0.06499960348010063,152.1468505859375,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,A_Hqql_correct,0.07887133955955505,0.2263031154870987,0.29581155627965927,0.059800080955028534,152.1468505859375,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,A_Hqql_correct,0.0858232503135999,0.08782880877455075,0.2732958259681861,0.05983023221294085,152.1468505859375,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.0838707722723484,0.16004798118956387,0.26865165471099317,0.05999349569901824,152.1468505859375,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.08544157817959785,0.21773160994052887,0.21773160994052887,0.05586609058082104,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-CLS,A_Hqql_correct,0.10037651658058167,-0.05579466000199318,0.13879061862826347,0.05223735608160496,152.1468505859375,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-CLS,A_Hqql_correct,0.0777299977838993,0.0634219765663147,0.09256232380867005,0.03650227189064026,102.39976501464844,0.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-muon,A_Hqql_correct,0.1359080858528614,0.08458166569471359,0.08458166569471359,0.038034334778785706,33.507779121398926,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,A_Hqql_correct,0.07605061493813992,0.06790323462337255,0.07976761367172003,0.03346328716725111,102.39976501464844,0.25
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,A_Hqql_correct,0.080084428191185,0.02447064562390248,0.07847773190587759,0.03828848650058111,102.39976501464844,0.1875
signed_hqql_tbl,mod.cls_blocks.0.attn,0,mod.cls_blocks.0.attn.h0,photon<-electron,A_Hqql_correct,0.13096566498279572,0.0764228031039238,0.0764228031039238,0.03581862524151802,31.378816604614258,0.0625
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-CLS,A_Hqql_correct,0.08118113339878619,0.05310401279712096,0.0753027947503142,0.035402254085056484,102.39976501464844,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,neutral_hadron<-muon,A_Hqql_correct,0.17042091488838196,-0.07088703662157059,0.07088703662157059,0.04315839149057865,49.24827003479004,0.125
signed_hqql_tbl,mod.cls_blocks.0.attn,1,mod.cls_blocks.0.attn.h1,photon<-muon,A_Hqql_correct,0.13588464632630348,-0.030469145625829697,0.07061481848359108,0.036013093777000904,50.46156120300293,0.125
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.03058307376262304,-0.03864689221656,0.07020816569392746,0.008706898655037622,8.750067324251741,2.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.029161921022711573,-0.03959537236447874,0.06964092694122244,0.008706898403328818,7.74138744457348,2.3125
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,photon<-muon,A_Hqql_correct,0.10033280029892921,0.028490247204899788,0.06455632112920284,0.0343593955039978,37.30373573303223,0.125
