analysis_group,source_group,entry_idx,true_label_root,pred_label_root,pred_label_direct,match_root_pred,direct_score_Hqql,direct_score_Tbl,direct_tbl_minus_hqql,root_score_Hqql,root_score_Tbl
A_Hqql_correct,HToWW2Q1L,1069,label_Hqql,label_Hqql,label_Hqql,1,11.95292854309082,-0.021905183792114258,-11.974833488464355,1.0,2.8037931087965262e-08
A_Hqql_correct,HToWW2Q1L,4369,label_Hqql,label_Hqql,label_Hqql,1,17.545696258544922,6.162328720092773,-11.383367538452148,1.0,2.649822761213727e-08
A_Hqql_correct,HToWW2Q1L,17978,label_Hqql,label_Hqql,label_Hqql,1,9.781519889831543,1.2812789678573608,-8.50024127960205,1.0,2.041116431428236e-08
A_Hqql_correct,HToWW2Q1L,20290,label_Hqql,label_Hqql,label_Hqql,1,7.639808177947998,0.9311569929122925,-6.708651065826416,1.0,2.1308988351620428e-08
A_Hqql_correct,HToWW2Q1L,23852,label_Hqql,label_Hqql,label_Hqql,1,5.435247421264648,-1.614498257637024,-7.049745559692383,1.0,8.696205533453849e-09
A_Hqql_correct,HToWW2Q1L,24518,label_Hqql,label_Hqql,label_Hqql,1,13.29407024383545,2.4423975944519043,-10.851673126220703,1.0,7.98149879521759e-10
A_Hqql_correct,HToWW2Q1L,25471,label_Hqql,label_Hqql,label_Tbl,0,10.135356903076172,11.49555778503418,1.3602008819580078,1.0,1.6346803022315726e-08
A_Hqql_correct,HToWW2Q1L,27032,label_Hqql,label_Hqql,label_Hqql,1,11.201006889343262,10.939995765686035,-0.26101112365722656,1.0,6.313153999570886e-09
A_Hqql_correct,HToWW2Q1L,29648,label_Hqql,label_Hqql,label_Hqql,1,13.4470853805542,0.06674754619598389,-13.380337715148926,1.0,1.0606576061888973e-08
A_Hqql_correct,HToWW2Q1L,29857,label_Hqql,label_Hqql,label_Hqql,1,11.410977363586426,4.1676201820373535,-7.243357181549072,1.0,1.198931265378178e-08
A_Hqql_correct,HToWW2Q1L,32134,label_Hqql,label_Hqql,label_Hqql,1,6.561675548553467,-2.0476083755493164,-8.609283447265625,1.0,2.8667104245982955e-08
A_Hqql_correct,HToWW2Q1L,38944,label_Hqql,label_Hqql,label_Hqql,1,12.36521053314209,5.702921390533447,-6.662289142608643,1.0,1.7469018231963673e-08
A_Hqql_correct,HToWW2Q1L,40546,label_Hqql,label_Hqql,label_Hqql,1,9.695549964904785,7.68890380859375,-2.006646156311035,1.0,2.3511708135970366e-08
A_Hqql_correct,HToWW2Q1L,41814,label_Hqql,label_Hqql,label_Hqql,1,3.744032621383667,-2.240499258041382,-5.984531879425049,1.0,2.939919596656182e-08
A_Hqql_correct,HToWW2Q1L,51486,label_Hqql,label_Hqql,label_Hqql,1,15.586918830871582,4.380856990814209,-11.206062316894531,1.0,1.8525464495766641e-09
A_Hqql_correct,HToWW2Q1L,51927,label_Hqql,label_Hqql,label_Hqql,1,12.698184967041016,9.22148609161377,-3.476698875427246,1.0,2.503975637946354e-10
A_Hqql_correct,HToWW2Q1L,57470,label_Hqql,label_Hqql,label_Hqql,1,12.18705940246582,6.212478160858154,-5.974581241607666,1.0,2.7118286283212e-08
A_Hqql_correct,HToWW2Q1L,64111,label_Hqql,label_Hqql,label_Hqql,1,11.811287879943848,6.799459457397461,-5.011828422546387,1.0,1.615537037480408e-08
A_Hqql_correct,HToWW2Q1L,64240,label_Hqql,label_Hqql,label_Hqql,1,16.058042526245117,5.525031566619873,-10.533010482788086,1.0,8.176188615038882e-09
A_Hqql_correct,HToWW2Q1L,68374,label_Hqql,label_Hqql,label_Hqql,1,13.516640663146973,1.6072157621383667,-11.909424781799316,1.0,4.0575471871306945e-09
A_Hqql_correct,HToWW2Q1L,70912,label_Hqql,label_Hqql,label_Tbl,0,9.805842399597168,10.984307289123535,1.1784648895263672,1.0,2.3618097699795726e-08
A_Hqql_correct,HToWW2Q1L,76041,label_Hqql,label_Hqql,label_Hqql,1,8.573071479797363,4.596116542816162,-3.976954936981201,1.0,1.1710195479963659e-08
A_Hqql_correct,HToWW2Q1L,77787,label_Hqql,label_Hqql,label_Hqql,1,13.745574951171875,4.171083450317383,-9.574491500854492,1.0,2.126841147642722e-09
A_Hqql_correct,HToWW2Q1L,80775,label_Hqql,label_Hqql,label_Hqql,1,12.068153381347656,7.570441246032715,-4.497712135314941,1.0,1.2114477421221181e-08
A_Hqql_correct,HToWW2Q1L,95020,label_Hqql,label_Hqql,label_Hqql,1,11.71541976928711,7.692546844482422,-4.0228729248046875,1.0,1.2580374963988561e-08
A_Hqql_correct,HToWW2Q1L,95736,label_Hqql,label_Hqql,label_Hqql,1,15.587990760803223,5.062343120574951,-10.52564811706543,1.0,2.0027680847078955e-08
