event,donor,fraction,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
12293,12929,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,electron
12293,12929,0.2,2,label_Tbl,label_Tbl,0,0,4.59621262550354,electron,electron
12293,12929,0.4,3,label_Tbl,label_Hqql,1,1,5.142979383468628,electron,electron
12293,12929,0.6,5,label_Tbl,label_Hqql,1,1,4.812471151351929,electron,electron
12293,12929,0.8,6,label_Tbl,label_Hqql,1,1,4.724973201751709,electron,electron
12293,12929,1.0,8,label_Tbl,label_Hqql,1,1,7.353003740310669,electron,electron
12298,14605,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,charged_hadron
12298,14605,0.2,2,label_Tbl,label_Hqql,1,1,6.380139470100403,electron,charged_hadron
12298,14605,0.4,3,label_Tbl,label_Hqql,1,1,4.8565884828567505,electron,charged_hadron
12298,14605,0.6,5,label_Tbl,label_Hqql,1,1,3.092351794242859,electron,charged_hadron
12298,14605,0.8,6,label_Tbl,label_Hqql,1,1,2.407570481300354,electron,charged_hadron
12298,14605,1.0,8,label_Tbl,label_Tbl,0,0,1.571719765663147,electron,charged_hadron
12364,16293,0.0,0,label_Tbl,label_Tbl,0,0,0.0,neutral_hadron,photon
12364,16293,0.2,2,label_Tbl,label_Tbl,0,0,-0.2970994710922241,neutral_hadron,photon
12364,16293,0.4,3,label_Tbl,label_Tbl,0,0,0.04495394229888916,neutral_hadron,photon
12364,16293,0.6,5,label_Tbl,label_Tbl,0,0,-0.21118676662445068,neutral_hadron,photon
12364,16293,0.8,6,label_Tbl,label_Tbl,0,0,0.10424840450286865,neutral_hadron,photon
12364,16293,1.0,8,label_Tbl,label_Tbl,0,0,-0.10500061511993408,neutral_hadron,photon
12434,15270,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,electron
12434,15270,0.2,2,label_Tbl,label_Hqql,1,1,5.424920082092285,muon,electron
12434,15270,0.4,3,label_Tbl,label_Hqql,1,1,5.558228254318237,muon,electron
12434,15270,0.6,5,label_Tbl,label_Hqql,1,1,4.6692726612091064,muon,electron
12434,15270,0.8,6,label_Tbl,label_Hqql,1,1,4.630296945571899,muon,electron
12434,15270,1.0,8,label_Tbl,label_Tbl,0,0,2.6731683015823364,muon,electron
12551,13286,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
12551,13286,0.2,2,label_Tbl,label_Hqql,1,1,2.0081030130386353,electron,muon
12551,13286,0.4,3,label_Tbl,label_Hqql,1,1,2.029950737953186,electron,muon
12551,13286,0.6,5,label_Tbl,label_Hqql,1,1,1.2340054512023926,electron,muon
12551,13286,0.8,6,label_Tbl,label_Tbl,0,0,0.6564489603042603,electron,muon
12551,13286,1.0,8,label_Tbl,label_Tbl,0,0,0.6745897531509399,electron,muon
12563,13588,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,muon
12563,13588,0.2,2,label_Tbl,label_Hqql,1,1,1.2499927282333374,muon,muon
12563,13588,0.4,3,label_Tbl,label_Hqql,1,1,1.3624686002731323,muon,muon
12563,13588,0.6,5,label_Tbl,label_Tbl,0,0,0.74159836769104,muon,muon
12563,13588,0.8,6,label_Tbl,label_Hqql,1,1,1.7763985395431519,muon,muon
12563,13588,1.0,8,label_Tbl,label_Hqql,1,1,2.4411312341690063,muon,muon
12577,15991,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
12577,15991,0.2,2,label_Tbl,label_Hqql,1,1,2.4286328554153442,electron,muon
12577,15991,0.4,3,label_Tbl,label_Hqql,1,1,2.537646174430847,electron,muon
12577,15991,0.6,5,label_Tbl,label_Hqql,1,1,2.139990448951721,electron,muon
12577,15991,0.8,6,label_Tbl,label_Hqql,1,1,0.6818557977676392,electron,muon
12577,15991,1.0,8,label_Tbl,label_Tbl,0,0,-1.1518961191177368,electron,muon
12598,14089,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
12598,14089,0.2,2,label_Tbl,label_Hqql,1,1,3.66603422164917,electron,muon
12598,14089,0.4,3,label_Tbl,label_Hqql,1,1,4.3875874280929565,electron,muon
12598,14089,0.6,5,label_Tbl,label_Hqql,1,1,4.1696460247039795,electron,muon
12598,14089,0.8,6,label_Tbl,label_Hqql,1,1,3.645884871482849,electron,muon
12598,14089,1.0,8,label_Tbl,label_Hqql,1,1,3.939618706703186,electron,muon
12619,13732,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,electron
12619,13732,0.2,2,label_Tbl,label_Tbl,0,0,-1.2435302734375,electron,electron
12619,13732,0.4,3,label_Tbl,label_Tbl,0,0,-0.4000455141067505,electron,electron
12619,13732,0.6,5,label_Tbl,label_Tbl,0,0,-0.4575103521347046,electron,electron
12619,13732,0.8,6,label_Tbl,label_Tbl,0,0,-0.5529391765594482,electron,electron
12619,13732,1.0,8,label_Tbl,label_Tbl,0,0,-0.7996515035629272,electron,electron
12649,13666,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,neutral_hadron
12649,13666,0.2,2,label_Tbl,label_Tbl,0,0,2.088989496231079,muon,neutral_hadron
12649,13666,0.4,3,label_Tbl,label_Tbl,0,0,1.9077576398849487,muon,neutral_hadron
12649,13666,0.6,5,label_Tbl,label_Tbl,0,0,2.038125157356262,muon,neutral_hadron
12649,13666,0.8,6,label_Tbl,label_Tbl,0,0,2.1051011085510254,muon,neutral_hadron
12649,13666,1.0,8,label_Tbl,label_Tbl,0,0,2.2568347454071045,muon,neutral_hadron
12699,13574,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,muon
12699,13574,0.2,2,label_Tbl,label_Hqql,1,1,0.9906989336013794,muon,muon
12699,13574,0.4,3,label_Tbl,label_Hqql,1,1,1.1585631370544434,muon,muon
12699,13574,0.6,5,label_Tbl,label_Tbl,0,0,-0.0807722806930542,muon,muon
12699,13574,0.8,6,label_Tbl,label_Tbl,0,0,-0.5678056478500366,muon,muon
12699,13574,1.0,8,label_Tbl,label_Tbl,0,0,-0.8355495929718018,muon,muon
12707,14989,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,electron
12707,14989,0.2,2,label_Tbl,label_Tbl,0,0,0.669513463973999,muon,electron
12707,14989,0.4,3,label_Tbl,label_Tbl,0,0,1.0114647150039673,muon,electron
12707,14989,0.6,5,label_Tbl,label_Tbl,0,0,0.3639611005783081,muon,electron
12707,14989,0.8,6,label_Tbl,label_Tbl,0,0,-0.05498647689819336,muon,electron
12707,14989,1.0,8,label_Tbl,label_Hqql,1,1,2.2864354848861694,muon,electron
12717,14284,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,charged_hadron
12717,14284,0.2,2,label_Tbl,label_Tbl,0,0,0.5925149619579315,electron,charged_hadron
12717,14284,0.4,3,label_Tbl,label_Tbl,0,0,-0.1078033447265625,electron,charged_hadron
12717,14284,0.6,5,label_Tbl,label_Tbl,0,0,0.0742340087890625,electron,charged_hadron
12717,14284,0.8,6,label_Tbl,label_Tbl,0,0,0.19163823127746582,electron,charged_hadron
12717,14284,1.0,8,label_Tbl,label_Tbl,0,0,0.4308907985687256,electron,charged_hadron
12778,12949,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
12778,12949,0.2,2,label_Tbl,label_Hqql,1,1,5.946488857269287,electron,muon
12778,12949,0.4,3,label_Tbl,label_Hqql,1,1,6.130530834197998,electron,muon
12778,12949,0.6,5,label_Tbl,label_Hqql,1,1,7.190105438232422,electron,muon
12778,12949,0.8,6,label_Tbl,label_Hqql,1,1,7.625957012176514,electron,muon
12778,12949,1.0,8,label_Tbl,label_Tbl,0,0,5.024041414260864,electron,muon
12819,15977,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,electron
12819,15977,0.2,2,label_Tbl,label_Tbl,0,0,0.7061703205108643,electron,electron
12819,15977,0.4,3,label_Tbl,label_Tbl,0,0,0.9216059446334839,electron,electron
12819,15977,0.6,5,label_Tbl,label_Hqql,1,1,2.015547513961792,electron,electron
12819,15977,0.8,6,label_Tbl,label_Hqql,1,1,2.3527209758758545,electron,electron
12819,15977,1.0,8,label_Tbl,label_Hqql,1,1,2.321928024291992,electron,electron
12827,14994,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,neutral_hadron
12827,14994,0.2,2,label_Tbl,label_Hqql,1,1,3.143815040588379,electron,neutral_hadron
12827,14994,0.4,3,label_Tbl,label_Hqql,1,1,2.7601263523101807,electron,neutral_hadron
12827,14994,0.6,5,label_Tbl,label_Hqql,1,1,2.825281262397766,electron,neutral_hadron
12827,14994,0.8,6,label_Tbl,label_Tbl,0,0,1.7145768404006958,electron,neutral_hadron
12827,14994,1.0,8,label_Tbl,label_Tbl,0,0,2.1386518478393555,electron,neutral_hadron
12874,13118,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,muon
12874,13118,0.2,2,label_Tbl,label_Hqql,1,1,1.4659420251846313,muon,muon
12874,13118,0.4,3,label_Tbl,label_Hqql,1,1,2.1825475692749023,muon,muon
12874,13118,0.6,5,label_Tbl,label_Hqql,1,1,2.362459659576416,muon,muon
12874,13118,0.8,6,label_Tbl,label_Hqql,1,1,1.586874008178711,muon,muon
12874,13118,1.0,8,label_Tbl,label_Hqql,1,1,2.4251132011413574,muon,muon
12882,14991,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
12882,14991,0.2,2,label_Tbl,label_Hqql,1,1,1.2697714567184448,electron,muon
12882,14991,0.4,3,label_Tbl,label_Hqql,1,1,1.6000336408615112,electron,muon
12882,14991,0.6,5,label_Tbl,label_Hqql,1,1,0.9965904951095581,electron,muon
12882,14991,0.8,6,label_Tbl,label_Tbl,0,0,0.2831542491912842,electron,muon
12882,14991,1.0,8,label_Tbl,label_Hqql,1,1,1.3514018654823303,electron,muon
12914,14389,0.0,0,label_Tbl,label_Tbl,0,0,0.0,photon,neutral_hadron
12914,14389,0.2,2,label_Tbl,label_Hqql,1,1,3.1092216968536377,photon,neutral_hadron
12914,14389,0.4,3,label_Tbl,label_Hqql,1,1,3.1722571849823,photon,neutral_hadron
12914,14389,0.6,5,label_Tbl,label_Hqql,1,1,3.905454635620117,photon,neutral_hadron
12914,14389,0.8,6,label_Tbl,label_Hqql,1,1,3.942930221557617,photon,neutral_hadron
12914,14389,1.0,8,label_Tbl,label_Hqql,1,1,3.4397737979888916,photon,neutral_hadron
12917,12368,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
12917,12368,0.2,2,label_Tbl,label_Hqql,1,1,1.8850765228271484,electron,muon
12917,12368,0.4,3,label_Tbl,label_Hqql,1,1,2.423067331314087,electron,muon
12917,12368,0.6,5,label_Tbl,label_Hqql,1,1,1.6608483791351318,electron,muon
12917,12368,0.8,6,label_Tbl,label_Hqql,1,1,0.8873069286346436,electron,muon
12917,12368,1.0,8,label_Tbl,label_Tbl,0,0,0.27065038681030273,electron,muon
12937,13578,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,photon
12937,13578,0.2,2,label_Tbl,label_Tbl,0,0,-0.517046332359314,electron,photon
12937,13578,0.4,3,label_Tbl,label_Tbl,0,0,-2.1639257669448853,electron,photon
12937,13578,0.6,5,label_Tbl,label_Tbl,0,0,-3.6702359914779663,electron,photon
12937,13578,0.8,6,label_Tbl,label_Tbl,0,0,-2.8283475637435913,electron,photon
12937,13578,1.0,8,label_Tbl,label_Tbl,0,0,-0.7880862951278687,electron,photon
12946,12420,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,charged_hadron
12946,12420,0.2,2,label_Tbl,label_Tbl,0,0,1.4715182781219482,muon,charged_hadron
12946,12420,0.4,3,label_Tbl,label_Tbl,0,0,1.4944430589675903,muon,charged_hadron
12946,12420,0.6,5,label_Tbl,label_Hqql,1,1,1.909733772277832,muon,charged_hadron
12946,12420,0.8,6,label_Tbl,label_Hqql,1,1,2.6057881116867065,muon,charged_hadron
12946,12420,1.0,8,label_Tbl,label_Hqql,1,1,3.3736172914505005,muon,charged_hadron
12962,12721,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,electron
12962,12721,0.2,2,label_Tbl,label_Hqql,1,1,4.172292470932007,muon,electron
12962,12721,0.4,3,label_Tbl,label_Hqql,1,1,4.407483339309692,muon,electron
12962,12721,0.6,5,label_Tbl,label_Hqql,1,1,3.167076826095581,muon,electron
12962,12721,0.8,6,label_Tbl,label_Hqql,1,1,3.4531328678131104,muon,electron
12962,12721,1.0,8,label_Tbl,label_Hqql,1,1,3.9049317836761475,muon,electron
12982,14952,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,charged_hadron
12982,14952,0.2,2,label_Tbl,label_Tbl,0,0,0.7979710102081299,electron,charged_hadron
12982,14952,0.4,3,label_Tbl,label_Tbl,0,0,1.0870351791381836,electron,charged_hadron
12982,14952,0.6,5,label_Tbl,label_Hqql,1,1,2.0972657799720764,electron,charged_hadron
12982,14952,0.8,6,label_Tbl,label_Hqql,1,1,2.1544761061668396,electron,charged_hadron
12982,14952,1.0,8,label_Tbl,label_Hqql,1,1,2.170771598815918,electron,charged_hadron
12996,13181,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,charged_hadron
12996,13181,0.2,2,label_Tbl,label_Hqql,1,1,3.745290517807007,muon,charged_hadron
12996,13181,0.4,3,label_Tbl,label_Hqql,1,1,4.107769727706909,muon,charged_hadron
12996,13181,0.6,5,label_Tbl,label_Hqql,1,1,3.6673479080200195,muon,charged_hadron
12996,13181,0.8,6,label_Tbl,label_Hqql,1,1,3.628207206726074,muon,charged_hadron
12996,13181,1.0,8,label_Tbl,label_Hqql,1,1,3.857177972793579,muon,charged_hadron
13045,12923,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
13045,12923,0.2,2,label_Tbl,label_Hqql,1,1,1.354385495185852,electron,muon
13045,12923,0.4,3,label_Tbl,label_Hqql,1,1,1.2239024639129639,electron,muon
13045,12923,0.6,5,label_Tbl,label_Hqql,1,1,1.0541094541549683,electron,muon
13045,12923,0.8,6,label_Tbl,label_Hqql,1,1,0.8836280107498169,electron,muon
13045,12923,1.0,8,label_Tbl,label_Hqql,1,1,0.7671651840209961,electron,muon
13065,15575,0.0,0,label_Tbl,label_Tbl,0,0,0.0,charged_hadron,charged_hadron
13065,15575,0.2,2,label_Tbl,label_Hqql,1,1,1.9895542860031128,charged_hadron,charged_hadron
13065,15575,0.4,3,label_Tbl,label_Hqql,1,1,1.8301769495010376,charged_hadron,charged_hadron
13065,15575,0.6,5,label_Tbl,label_Hqql,1,1,1.3563328981399536,charged_hadron,charged_hadron
13065,15575,0.8,6,label_Tbl,label_Hqql,1,1,1.942787528038025,charged_hadron,charged_hadron
