source,id,control,k_norm,acc,acc_drop,flip_rate,delta_logit_norm,valid_particles_norm,is_remove,is_keep,is_random,is_particle0,is_topk,embedding_json,embedding_dim
control_row,control:baseline,baseline,0.0,0.7574218511581421,0.0,0.0,0.0,0.7610995089183614,0.0,0.0,0.0,0.0,0.0,"[0.0,0.7574218511581421,0.0,0.0,0.0,0.7610995089183614,0.0,0.0,0.0,0.0,0.0]",11
control_row,control:remove_particle0,remove_particle0,0.0,0.563281238079071,0.19414061307907104,0.3160156309604645,-0.11881660223007202,0.7559419634464991,1.0,0.0,0.0,1.0,0.0,"[0.0,0.563281238079071,0.19414061307907104,0.3160156309604645,-0.11881660223007202,0.7559419634464991,1.0,0.0,0.0,1.0,0.0]",11
control_row,control:keep_only_particle0,keep_only_particle0,0.0,0.20273438096046448,0.5546874701976776,0.794140636920929,-0.8836878895759582,0.14262838210336,0.0,1.0,0.0,1.0,0.0,"[0.0,0.20273438096046448,0.5546874701976776,0.794140636920929,-0.8836878895759582,0.14262838210336,0.0,1.0,0.0,1.0,0.0]",11
control_row,control:remove_top1,remove_top1,0.0625,0.563281238079071,0.19414061307907104,0.3160156309604645,-0.11881660223007202,0.7559419634464991,1.0,0.0,0.0,0.0,1.0,"[0.0625,0.563281238079071,0.19414061307907104,0.3160156309604645,-0.11881660223007202,0.7559419634464991,1.0,0.0,0.0,0.0,1.0]",11
control_row,control:keep_top1,keep_top1,0.0625,0.20273438096046448,0.5546874701976776,0.794140636920929,-0.8836878895759582,0.14262838210336,0.0,1.0,0.0,0.0,1.0,"[0.0625,0.20273438096046448,0.5546874701976776,0.794140636920929,-0.8836878895759582,0.14262838210336,0.0,1.0,0.0,0.0,1.0]",11
control_row,control:random_remove1_r0,random_remove1_r0,0.0625,0.744921863079071,0.012499988079071045,0.06093750149011612,-0.007330616315205892,0.7559419634464991,0.0,0.0,1.0,0.0,0.0,"[0.0625,0.744921863079071,0.012499988079071045,0.06093750149011612,-0.007330616315205892,0.7559419634464991,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove1_r1,random_remove1_r1,0.0625,0.7386718988418579,0.01874995231628418,0.06367187201976776,-0.007065045833587647,0.7559419634464991,0.0,0.0,1.0,0.0,0.0,"[0.0625,0.7386718988418579,0.01874995231628418,0.06367187201976776,-0.007065045833587647,0.7559419634464991,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove1_r2,random_remove1_r2,0.0625,0.744921863079071,0.012499988079071045,0.0625,-0.006217936674753825,0.7559419634464991,0.0,0.0,1.0,0.0,0.0,"[0.0625,0.744921863079071,0.012499988079071045,0.0625,-0.006217936674753825,0.7559419634464991,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:remove_top2,remove_top2,0.125,0.4566406309604645,0.3007812201976776,0.4664062559604645,-0.18510304689407348,0.7506518148482955,1.0,0.0,0.0,0.0,1.0,"[0.125,0.4566406309604645,0.3007812201976776,0.4664062559604645,-0.18510304689407348,0.7506518148482955,1.0,0.0,0.0,0.0,1.0]",11
control_row,control:keep_top2,keep_top2,0.125,0.24296875298023224,0.5144530981779099,0.7476562261581421,-0.5599228660265605,0.22606063717235406,0.0,1.0,0.0,0.0,1.0,"[0.125,0.24296875298023224,0.5144530981779099,0.7476562261581421,-0.5599228660265605,0.22606063717235406,0.0,1.0,0.0,0.0,1.0]",11
control_row,control:random_remove2_r0,random_remove2_r0,0.125,0.719531238079071,0.037890613079071045,0.09335937350988388,-0.012735658884048462,0.7506518148482955,0.0,0.0,1.0,0.0,0.0,"[0.125,0.719531238079071,0.037890613079071045,0.09335937350988388,-0.012735658884048462,0.7506518148482955,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove2_r1,random_remove2_r1,0.125,0.720703125,0.03671872615814209,0.10117187350988388,-0.014744581778844197,0.7506518148482955,0.0,0.0,1.0,0.0,0.0,"[0.125,0.720703125,0.03671872615814209,0.10117187350988388,-0.014744581778844197,0.7506518148482955,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove2_r2,random_remove2_r2,0.125,0.7300781011581421,0.02734375,0.09492187201976776,-0.01107775370279948,0.7506518148482955,0.0,0.0,1.0,0.0,0.0,"[0.125,0.7300781011581421,0.02734375,0.09492187201976776,-0.01107775370279948,0.7506518148482955,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:remove_top4,remove_top4,0.25,0.3492187559604645,0.4082030951976776,0.5921875238418579,-0.2754939516385396,0.7396473430197638,1.0,0.0,0.0,0.0,1.0,"[0.25,0.3492187559604645,0.4082030951976776,0.5921875238418579,-0.2754939516385396,0.7396473430197638,1.0,0.0,0.0,0.0,1.0]",11
control_row,control:keep_top4,keep_top4,0.25,0.29218751192092896,0.46523433923721313,0.700390636920929,-0.40806612571080525,0.3311567751077722,0.0,1.0,0.0,0.0,1.0,"[0.25,0.29218751192092896,0.46523433923721313,0.700390636920929,-0.40806612571080525,0.3311567751077722,0.0,1.0,0.0,0.0,1.0]",11
control_row,control:random_remove4_r0,random_remove4_r0,0.25,0.6871093511581421,0.0703125,0.17265625298023224,-0.030037076647082963,0.7396473430197638,0.0,0.0,1.0,0.0,0.0,"[0.25,0.6871093511581421,0.0703125,0.17265625298023224,-0.030037076647082963,0.7396473430197638,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove4_r1,random_remove4_r1,0.25,0.688281238079071,0.06914061307907104,0.18203124403953552,-0.032430490106344224,0.7396473430197638,0.0,0.0,1.0,0.0,0.0,"[0.25,0.688281238079071,0.06914061307907104,0.18203124403953552,-0.032430490106344224,0.7396473430197638,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove4_r2,random_remove4_r2,0.25,0.6773437261581421,0.080078125,0.18085937201976776,-0.02888366753856341,0.7396473430197638,0.0,0.0,1.0,0.0,0.0,"[0.25,0.6773437261581421,0.080078125,0.18085937201976776,-0.02888366753856341,0.7396473430197638,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:remove_top8,remove_top8,0.5,0.2691406309604645,0.4882812201976776,0.684374988079071,-0.37413315375645956,0.7157204167082614,1.0,0.0,0.0,0.0,1.0,"[0.5,0.2691406309604645,0.4882812201976776,0.684374988079071,-0.37413315375645956,0.7157204167082614,1.0,0.0,0.0,0.0,1.0]",11
control_row,control:keep_top8,keep_top8,0.5,0.3773437440395355,0.38007810711860657,0.60546875,-0.2143186052640279,0.45201407929951387,0.0,1.0,0.0,0.0,1.0,"[0.5,0.3773437440395355,0.38007810711860657,0.60546875,-0.2143186052640279,0.45201407929951387,0.0,1.0,0.0,0.0,1.0]",11
control_row,control:random_remove8_r0,random_remove8_r0,0.5,0.5855468511581421,0.171875,0.3089843690395355,-0.08373868862787882,0.7157204167082614,0.0,0.0,1.0,0.0,0.0,"[0.5,0.5855468511581421,0.171875,0.3089843690395355,-0.08373868862787882,0.7157204167082614,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove8_r1,random_remove8_r1,0.5,0.5882812738418579,0.16914057731628418,0.3148437440395355,-0.07740823030471802,0.7157204167082614,0.0,0.0,1.0,0.0,0.0,"[0.5,0.5882812738418579,0.16914057731628418,0.3148437440395355,-0.07740823030471802,0.7157204167082614,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove8_r2,random_remove8_r2,0.5,0.581250011920929,0.17617183923721313,0.31367188692092896,-0.07918511629104615,0.7157204167082614,0.0,0.0,1.0,0.0,0.0,"[0.5,0.581250011920929,0.17617183923721313,0.31367188692092896,-0.07918511629104615,0.7157204167082614,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:remove_top16,remove_top16,1.0,0.19804687798023224,0.5593749731779099,0.787109375,-0.4924134691556295,0.658188598942601,1.0,0.0,0.0,0.0,1.0,"[1.0,0.19804687798023224,0.5593749731779099,0.787109375,-0.4924134691556295,0.658188598942601,1.0,0.0,0.0,0.0,1.0]",11
control_row,control:keep_top16,keep_top16,1.0,0.5390625,0.2183593511581421,0.40507811307907104,-0.05671952168146769,0.5817599662581823,0.0,1.0,0.0,0.0,1.0,"[1.0,0.5390625,0.2183593511581421,0.40507811307907104,-0.05671952168146769,0.5817599662581823,0.0,1.0,0.0,0.0,1.0]",11
control_row,control:random_remove16_r0,random_remove16_r0,1.0,0.3792968690395355,0.37812498211860657,0.56640625,-0.23005852301915486,0.658188598942601,0.0,0.0,1.0,0.0,0.0,"[1.0,0.3792968690395355,0.37812498211860657,0.56640625,-0.23005852301915486,0.658188598942601,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove16_r1,random_remove16_r1,1.0,0.38007813692092896,0.37734371423721313,0.5703125,-0.2285619854927063,0.658188598942601,0.0,0.0,1.0,0.0,0.0,"[1.0,0.38007813692092896,0.37734371423721313,0.5703125,-0.2285619854927063,0.658188598942601,0.0,0.0,1.0,0.0,0.0]",11
control_row,control:random_remove16_r2,random_remove16_r2,1.0,0.3890624940395355,0.36835935711860657,0.5562499761581421,-0.2289608597755432,0.658188598942601,0.0,0.0,1.0,0.0,0.0,"[1.0,0.3890624940395355,0.36835935711860657,0.5562499761581421,-0.2289608597755432,0.658188598942601,0.0,0.0,1.0,0.0,0.0]",11
