test,target_event,donor_event,baseline_pred,patched_pred,success_to_Hqql,flip,baseline_margin_Hqql_minus_Tbl,patched_margin_Hqql_minus_Tbl,delta_margin,patched_indices,target_has_second_lepton
G1_compact_knn_injection,12649,14742,label_Tbl,label_Tbl,0,0,-2.5838608741760254,-2.4142866134643555,0.16957426071166992,"[79, 64, 101, 22, 43, 122, 92, 13, 112, 33, 38, 117, 53, 70, 54]",1
G1_control_same_pid_pt,12649,14742,label_Tbl,label_Tbl,0,0,-2.5838608741760254,-2.603621482849121,-0.019760608673095703,"[79, 64, 101, 22, 43, 122, 92, 13, 112, 33, 38, 117, 53, 70, 54]",1
G2_second_lepton_removal,12649,14742,label_Tbl,label_Tbl,0,0,-2.5838608741760254,-3.1731700897216797,-0.5893092155456543,[47],1
G2_control_random_removal,12649,14742,label_Tbl,label_Tbl,0,0,-2.5838608741760254,-2.638876438140869,-0.05501556396484375,[44],1
G3_compact_knn_plus_second_lepton_removal,12649,14742,label_Tbl,label_Tbl,0,0,-2.5838608741760254,-1.9605627059936523,0.623298168182373,"[79, 64, 101, 22, 43, 122, 92, 13, 112, 33, 38, 117, 53, 70, 54, 47]",1
G1_compact_knn_injection,12982,13089,label_Tbl,label_Hqql,1,1,-1.387579083442688,1.3660948276519775,2.7536739110946655,"[104, 82, 30, 119, 15, 67, 43, 95, 77, 25, 37, 89, 79, 27, 44]",0
G1_control_same_pid_pt,12982,13089,label_Tbl,label_Hqql,1,1,-1.387579083442688,0.39051997661590576,1.7780990600585938,"[104, 82, 30, 119, 15, 67, 43, 95, 77, 25, 37, 89, 79, 27, 44]",0
G1_compact_knn_injection,13045,13529,label_Tbl,label_Tbqq,0,1,-0.04268443584442139,-0.6976697444915771,-0.6549853086471558,"[108, 122, 14, 68, 44, 98, 123, 15, 69, 41, 95, 23, 77, 103, 49]",1
G1_control_same_pid_pt,13045,13529,label_Tbl,label_Tbl,0,0,-0.04268443584442139,-0.6920939683914185,-0.6494095325469971,"[108, 122, 14, 68, 44, 98, 123, 15, 69, 41, 95, 23, 77, 103, 49]",1
G2_second_lepton_removal,13045,13529,label_Tbl,label_Hqql,1,1,-0.04268443584442139,2.2893905639648438,2.332074999809265,[2],1
G2_control_random_removal,13045,13529,label_Tbl,label_Tbl,0,0,-0.04268443584442139,-0.2695425748825073,-0.22685813903808594,[14],1
G3_compact_knn_plus_second_lepton_removal,13045,13529,label_Tbl,label_Tbl,0,0,-0.04268443584442139,-0.0947931706905365,-0.05210873484611511,"[108, 122, 14, 68, 44, 98, 123, 15, 69, 41, 95, 23, 77, 103, 49, 2]",1
G1_compact_knn_injection,13583,13897,label_Tbl,label_Tbl,0,0,-2.001351833343506,-0.9210671186447144,1.0802847146987915,"[100, 104, 4, 54, 75, 125, 25, 61, 111, 11, 67, 117, 17, 57, 7]",1
