head_id,rank,event_index,true_label,pred_label,top_particle,leading_pt_particle,top_is_particle0,top_is_leading_pt,event_score,top_particle_pt,leading_pt,knn_neighbors_of_top_particle
L2_ch224:256,1,369,label_Tbl,label_Tbl,0,0,1,1,0.6458096504211426,487.25653076171875,487.25653076171875,"[0, 72, 108, 31, 103, 67, 96, 60, 24, 8, 44, 116, 80, 86, 50, 14]"
L2_ch224:256,2,332,label_Tbl,label_Tbl,0,0,1,1,0.5682569742202759,252.05963134765625,252.05963134765625,"[76, 74, 70, 63, 53, 67, 100, 24, 115, 39, 11, 87, 3, 79, 77, 1]"
L2_ch224:256,3,355,label_Tbl,label_Tbl,0,0,1,1,0.5428941249847412,519.654052734375,519.654052734375,"[36, 0, 18, 90, 72, 108, 126, 35, 125, 89, 107, 53, 17, 71, 33, 15]"
L2_ch224:256,4,323,label_Tbl,label_Tbl,0,0,1,1,0.5153225064277649,391.753173828125,391.753173828125,"[30, 90, 0, 120, 86, 56, 116, 26, 46, 76, 16, 106, 110, 80, 20, 50]"
L2_ch224:256,5,334,label_Tbl,label_Tbl,0,0,1,1,0.5127666592597961,482.8270568847656,482.8270568847656,"[72, 0, 24, 96, 120, 104, 80, 32, 8, 56, 117, 21, 93, 69, 45, 9]"
L2_ch128:160,1,327,label_Tbl,label_Tbl,0,0,1,1,0.6819173693656921,330.2943420410156,330.2943420410156,"[31, 93, 0, 124, 50, 81, 112, 19, 92, 30, 61, 123, 116, 85, 23, 54]"
L2_ch128:160,2,376,label_Tbl,label_Tbl,0,0,1,1,0.6815017461776733,216.5425567626953,216.5425567626953,"[0, 68, 102, 29, 97, 63, 126, 58, 24, 92, 11, 79, 113, 45, 57, 23]"
L2_ch128:160,3,362,label_Tbl,label_Tbl,0,0,1,1,0.649602472782135,181.8948211669922,181.8948211669922,"[42, 0, 21, 105, 84, 126, 95, 32, 11, 53, 116, 74, 76, 55, 13, 34]"
L2_ch128:160,4,373,label_Tbl,label_Tbl,0,0,1,1,0.6483787894248962,167.03543090820312,167.03543090820312,"[0, 108, 122, 14, 68, 47, 101, 97, 43, 15, 123, 69, 39, 93, 86, 32]"
L2_ch128:160,5,356,label_Tbl,label_Tbl,0,0,1,1,0.6449140906333923,424.41094970703125,424.41094970703125,"[69, 0, 23, 92, 115, 112, 89, 43, 20, 66, 114, 22, 91, 68, 45, 21]"
L2_ch0:32,1,369,label_Tbl,label_Tbl,0,0,1,1,0.4081932604312897,487.25653076171875,487.25653076171875,"[0, 72, 108, 31, 103, 67, 96, 60, 24, 8, 44, 116, 80, 86, 50, 14]"
L2_ch0:32,2,332,label_Tbl,label_Tbl,0,0,1,1,0.3954674005508423,252.05963134765625,252.05963134765625,"[76, 74, 70, 63, 53, 67, 100, 24, 115, 39, 11, 87, 3, 79, 77, 1]"
L2_ch0:32,3,351,label_Tbl,label_Tbl,0,0,1,1,0.3941167891025543,148.91407775878906,148.91407775878906,"[0, 98, 83, 34, 103, 5, 54, 41, 90, 51, 2, 100, 31, 80, 56, 7]"
L2_ch0:32,4,341,label_Tbl,label_Tbl,0,0,1,1,0.3857925832271576,133.78932189941406,133.78932189941406,"[0, 76, 114, 19, 95, 57, 120, 44, 6, 82, 5, 81, 119, 43, 42, 4]"
L2_ch0:32,5,340,label_Tbl,label_Tbl,0,0,1,1,0.3712831735610962,329.0126953125,329.0126953125,"[0, 80, 120, 38, 118, 78, 91, 11, 51, 70, 30, 110, 98, 18, 58, 34]"
L2_ch32:64,1,351,label_Tbl,label_Tbl,0,0,1,1,0.7287096977233887,148.91407775878906,148.91407775878906,"[0, 98, 83, 34, 103, 5, 54, 41, 90, 51, 2, 100, 31, 80, 56, 7]"
L2_ch32:64,2,369,label_Tbl,label_Tbl,0,0,1,1,0.7211373448371887,487.25653076171875,487.25653076171875,"[0, 72, 108, 31, 103, 67, 96, 60, 24, 8, 44, 116, 80, 86, 50, 14]"
L2_ch32:64,3,332,label_Tbl,label_Tbl,0,0,1,1,0.6586841344833374,252.05963134765625,252.05963134765625,"[76, 74, 70, 63, 53, 67, 100, 24, 115, 39, 11, 87, 3, 79, 77, 1]"
L2_ch32:64,4,340,label_Tbl,label_Tbl,0,0,1,1,0.6396635174751282,329.0126953125,329.0126953125,"[0, 80, 120, 38, 118, 78, 91, 11, 51, 70, 30, 110, 98, 18, 58, 34]"
L2_ch32:64,5,400,label_Tbqq,label_Tbqq,2,0,0,0,0.582966148853302,36.07419204711914,54.790382385253906,"[71, 100, 31, 23, 92, 81, 12, 68, 125, 56, 28, 97, 62, 61, 96, 27]"
L2_ch64:96,1,198,label_Hqql,label_Hqql,0,0,1,1,0.35901373624801636,445.189453125,445.189453125,"[26, 78, 0, 104, 117, 65, 91, 13, 39, 31, 109, 83, 5, 57, 43, 17]"
L2_ch64:96,2,337,label_Tbl,label_Tbl,0,0,1,1,0.32988545298576355,332.51971435546875,332.51971435546875,"[40, 0, 20, 100, 80, 120, 91, 31, 11, 51, 111, 71, 78, 58, 18, 38]"
L2_ch64:96,3,379,label_Tbl,label_Tbl,0,0,1,1,0.32155776023864746,62.23419952392578,62.23419952392578,"[0, 120, 96, 36, 59, 119, 118, 58, 93, 33, 57, 117, 50, 110, 115, 55]"
L2_ch64:96,4,217,label_Hqql,label_Hqql,0,0,1,1,0.3144959509372711,372.72479248046875,372.72479248046875,"[0, 66, 99, 101, 68, 2, 35, 42, 9, 75, 108, 100, 67, 1, 34, 3]"
L2_ch64:96,5,351,label_Tbl,label_Tbl,0,0,1,1,0.30926233530044556,148.91407775878906,148.91407775878906,"[0, 98, 83, 34, 103, 5, 54, 41, 90, 51, 2, 100, 31, 80, 56, 7]"
L2_ch160:192,1,351,label_Tbl,label_Tbl,0,0,1,1,0.793272852897644,148.91407775878906,148.91407775878906,"[0, 98, 83, 34, 103, 5, 54, 41, 90, 51, 2, 100, 31, 80, 56, 7]"
