class_label,n,jet_pt_mean,jet_pt_p50,jet_pt_p90,jet_energy_mean,jet_energy_p50,jet_energy_p90,jet_nparticles_mean,jet_nparticles_p50,jet_nparticles_p90,jet_sdmass_mean,jet_sdmass_p50,jet_sdmass_p90,jet_tau1_mean,jet_tau1_p50,jet_tau1_p90,jet_tau2_mean,jet_tau2_p50,jet_tau2_p90,jet_tau3_mean,jet_tau3_p50,jet_tau3_p90,jet_tau4_mean,jet_tau4_p50,jet_tau4_p90
label_Hbb,256,618.5018310546875,584.110595703125,800.36083984375,872.57177734375,786.20556640625,1298.93701171875,41.59765625,40.0,56.0,104.93508911132812,114.8001480102539,136.045166015625,0.1713373214006424,0.16891252994537354,0.24854962527751923,0.057162314653396606,0.051571525633335114,0.10056734085083008,0.03968279808759689,0.03735239803791046,0.061105623841285706,0.03278093785047531,0.030828025192022324,0.051096588373184204
label_Hcc,256,620.1239624023438,588.0452880859375,772.2939453125,920.0916748046875,818.7078857421875,1388.626708984375,38.66796875,37.0,53.5,113.04508972167969,119.44867706298828,137.2279052734375,0.1807350069284439,0.1743810772895813,0.26588475704193115,0.05758284404873848,0.0483173131942749,0.10190894454717636,0.038904570043087006,0.0350671261548996,0.06351594626903534,0.03157593309879303,0.02927423268556595,0.050032489001750946
label_Hgg,256,618.8357543945312,588.16796875,787.0650634765625,907.48291015625,778.766845703125,1353.2294921875,55.89453125,56.0,71.5,103.61099243164062,115.47109985351562,130.38534545898438,0.1833418607711792,0.18166303634643555,0.26008594036102295,0.08170966804027557,0.07894487679004669,0.11878018081188202,0.06006845086812973,0.05890261381864548,0.0845339298248291,0.04930688068270683,0.04932008683681488,0.07069747895002365
label_Hqql,256,622.71875,591.5515747070312,764.9003295898438,891.69287109375,794.2598266601562,1320.4306640625,28.734375,27.0,42.0,80.23428344726562,79.31858825683594,115.46035766601562,0.14161835610866547,0.13297998905181885,0.22071509063243866,0.06465283781290054,0.05756131187081337,0.10966843366622925,0.03328116610646248,0.02858201041817665,0.060513466596603394,0.02363373525440693,0.020592467859387398,0.042014844715595245
label_H4q,256,629.97998046875,589.047119140625,809.4219970703125,947.5694580078125,799.9503173828125,1519.405029296875,48.6953125,48.0,64.0,104.94810485839844,110.94662475585938,133.3330841064453,0.19394490122795105,0.197332963347435,0.2554386556148529,0.10400483757257462,0.10020409524440765,0.14551633596420288,0.06556907296180725,0.0627317875623703,0.09357377886772156,0.048406846821308136,0.04591294378042221,0.06844199448823929
label_Tbl,256,594.8671264648438,563.2616577148438,740.78369140625,807.8504638671875,716.3488159179688,1160.4173583984375,27.8046875,25.0,44.5,109.06370544433594,110.0020523071289,164.4565887451172,0.17801208794116974,0.17290684580802917,0.27656877040863037,0.04531320929527283,0.030466072261333466,0.1029769629240036,0.027263637632131577,0.021760232746601105,0.054407887160778046,0.020881231874227524,0.016317714005708694,0.0410756915807724
label_Tbqq,256,614.93701171875,586.9068603515625,760.3643798828125,873.6859130859375,772.038818359375,1279.640869140625,49.96484375,49.0,66.5,163.69664001464844,165.750732421875,204.65362548828125,0.27180731296539307,0.26318180561065674,0.3678596019744873,0.12734100222587585,0.12035136669874191,0.19480794668197632,0.06170771270990372,0.05626355856657028,0.09466543793678284,0.04708452522754669,0.0448029488325119,0.06644201278686523
label_Wqq,256,622.2740478515625,590.9117431640625,776.11376953125,1001.5026245117188,900.5272216796875,1589.58740234375,31.66796875,31.0,43.0,72.44100189208984,77.23786163330078,90.85456848144531,0.12304306030273438,0.11964105069637299,0.17207670211791992,0.043688733130693436,0.040128953754901886,0.0663524717092514,0.03002389892935753,0.028201457113027573,0.04534804821014404,0.024097474291920662,0.022956596687436104,0.03745294362306595
label_QCD,256,634.4537353515625,607.6566162109375,794.9017944335938,942.7614135742188,834.740966796875,1448.154052734375,36.8125,34.5,57.0,62.04743194580078,31.978473663330078,171.588134765625,0.10636159032583237,0.07490271329879761,0.2477317750453949,0.05174664035439491,0.04086875915527344,0.09912696480751038,0.036683447659015656,0.03125666454434395,0.07069596648216248,0.029346944764256477,0.025275463238358498,0.054513417184352875
label_Zqq,256,620.3367309570312,582.9862670898438,795.66015625,904.4519653320312,816.681396484375,1374.9395751953125,34.1484375,33.0,48.0,80.77301788330078,87.07620239257812,109.97142028808594,0.1292106807231903,0.12293972074985504,0.1860223114490509,0.04776036739349365,0.04318293184041977,0.07912219315767288,0.03276132792234421,0.029429826885461807,0.05323932319879532,0.0265301913022995,0.024436553940176964,0.043176472187042236
